slug,title,description,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients,ingredient_count,steps,step_count,allergens,tags,tipNote,servingSuggestion
laz-boregi-karadeniz-usulu,Laz Böreği,"Laz böreği, ince yufka arasında muhallebi saklayan ve üstüne pudra şekeri alan Karadeniz tatlısıdır.",TATLI,tr,MEDIUM,30,35,65,8,312,Baklavalık yufka 16 adet — Katlar için | Süt 500 ml — Muhallebi için | Yumurta sarısı 2 adet — Muhallebi için | Şeker 120 gr — Muhallebi için | Un 3 yemek kaşığı — Muhallebi için | Tereyağı 80 gr — Katlar için | Pudra şekeri 2 yemek kaşığı — Servis için,7,"1. Süt, yumurta sarısı, şeker ve unu koyulaşana kadar pişirip muhallebiyi soğutun. || 2. Yufkaları tereyağıyla kat kat serip muhallebiyi ortasına yayın. || 3. Böreği 190°C fırında 30 dakika pişirip pudra şekeriyle servis edin.",3,"GLUTEN,SUT,YUMURTA","misafir-sofrasi,vejetaryen",Muhallebiyi soğutmadan yufkaya yaymayın; sıcak dolgu katları yumuşatır.,Üzerine pudra şekeri serperek ılık servis edin.
lazanya,Lazanya,"Kat kat makarna, dana kıymalı ragu ve beşamel sosla pişen İtalyan fırın yemeği.",YEMEK,it,MEDIUM,35,45,80,8,560,Lazanya yaprağı 12 adet | Dana kıyma 500 gr | Domates sosu 2 su bardağı | Soğan 1 adet | Süt 3 su bardağı — Beşamel için | Un 3 yemek kaşığı — Beşamel için | Kaşar peyniri 1.5 su bardağı,7,"1. Kıyma, soğan ve domates sosunu 20 dakika pişirin. || 2. Süt ve unla beşamel sos hazırlayın. || 3. Lazanyayı kat kat dizip 180°C fırında 35-40 dakika pişirin.",3,"GLUTEN,SUT","firinda,misafir-sofrasi",Raguyu sulu bırakın; lazanya yaprakları fırında bu sosla yumuşar.,Yeşil salata ile servis edin.
lebeniye-corbasi,Lebeniye Çorbası,"Yoğurt, nohut, pirinç ve küçük köftelerle yapılan Antep çorbası.",CORBA,tr,MEDIUM,25,35,60,6,230,Yoğurt 2 su bardağı | Pirinç 0.5 su bardağı | Haşlanmış nohut 1 su bardağı | Dana kıyma 200 gr | Yumurta 1 adet | Tereyağı 2 yemek kaşığı | Kuru nane 1 tatlı kaşığı,7,"1. Pirinç ve nohudu 20 dakika haşlayın. || 2. Kıymadan küçük köfteler yapıp çorbaya ekleyin. || 3. Yoğurt ve yumurtayı çırpıp çorbaya ekleyin, 10 dakika pişirin.",3,"SUT,YUMURTA","kis-tarifi,misafir-sofrasi",Yoğurtlu karışımı tencereye azar azar ekleyip karıştırın; çorba pürüzsüz kalır.,Naneli tereyağı gezdirerek servis edin.
lechon-asado,Lechón Asado,"Küba lechón asado, narenciye ve sarımsakla marine edilen etin uzun fırınlanmış bayram yemeğidir.",YEMEK,cu,HARD,45,180,225,8,540,Dana döş 1.5 kg | Portakal suyu 200 ml — Marine için | Lime suyu 80 ml — Marine için | Sarımsak 8 diş — Marine için,4,1. Eti narenciye ve sarımsakla 8 saat marine edin. || 2. Eti 160°C fırında 3 saat pişirin. || 3. Eti 15 dakika dinlendirip dilimleyin.,3,,misafir-sofrasi,Eti marine içinde bir gece bekletin; turunçgil asidi kalın parçaya yavaş işler.,Moros y cristianos ve yuca con mojo ile servis edin.
lecso,Lecsó,"Macar lecsó, biber, domates ve soğanı paprikayla yumuşatan sade bir yaz tenceresidir.",YEMEK,hu,EASY,15,30,45,4,180,Kapya biber 6 adet | Domates 5 adet | Soğan 2 adet | Tatlı paprika 1 tatlı kaşığı,4,1. Soğanı 6 dakika kavurun. || 2. Biber ve paprikayı ekleyin. || 3. Domatesle 25 dakika pişirin.,3,,"tek-tencere,vejetaryen,vegan",Biberleri çok küçük doğramayın; uzun pişirmede tamamen erimemeleri gerekir.,Ekmek ve yoğurtla hafif ana yemek olarak servis edin.
licuado-de-papaya,Licuado de Papaya,"Papayalı Meksika sütlü içeceği, sabah büfelerinde hafif kahvaltılık bir smoothie gibi hazırlanır.",ICECEK,mx,EASY,5,0,5,2,184,Papaya 2 su bardağı | Süt 1.5 su bardağı | Bal 1 yemek kaşığı | Buz 0.5 su bardağı,4,1. Papayayı küp doğrayın. || 2. Tüm malzemeyi blenderda 45 saniye çekin. || 3. Hemen bardaklara alıp servis edin.,3,SUT,"pratik,yaz-tarifi,vejetaryen",Papaya çok olgunsa ekstra şeker eklemeden doğal tatlılık yeterli olur.,Soğuk bardakta üstüne bir çimdik tarçın serperek servis edin.
limonana,Limonana,"Nane ve limonla hazırlanan limonana, Doğu Akdeniz'de yaz sıcağına karşı en hızlı serin çözümlerden biridir.",ICECEK,me,EASY,5,0,5,2,76,Limon suyu 0.5 su bardağı | Taze nane 0.5 demet | Şeker 2 yemek kaşığı | Su 1.5 su bardağı | Buz 1 su bardağı,5,"1. Limon suyu, nane, şeker ve suyu blendera alın. || 2. 20 saniye çekin. || 3. Buz ekleyip bardaklara paylaştırın.",3,,"alkolsuz,yaz-tarifi,pratik,vejetaryen,vegan",Naneyi uzun çekmeyin; fazla blender süresi içeceği acılaştırabilir.,Bol buz ve birkaç nane yaprağıyla soğuk servis edin.
limonata,Limonata,"Ev yapımı taze limonata, yaz sıcaklarının vazgeçilmezi.",ICECEK,tr,EASY,10,0,10,4,80,Limon 4 adet | Şeker 4 yemek kaşığı | Su 1 litre | Nane süslemek için (opsiyonel),4,"1. Limonların kabuğunu rendeleyin, suyunu sıkın. || 2. Blender'a limon suyu, kabuk rendesi, şeker ve suyu koyun. || 3. Kısa süre çekin (kabuğu parçalamayın), süzün. Soğuk servis edin.",3,,"pratik,30-dakika-alti,yaz-tarifi,alkolsuz,vejetaryen,vegan",,
limonlu-posset,Limonlu Posset,"Krema, şeker ve limon suyuyla hazırlanan üç malzemeli İngiliz tatlısı.",TATLI,tr,EASY,10,8,18,4,310,Krema 500 ml | Şeker 0.75 su bardağı | Limon suyu 0.5 su bardağı | Limon kabuğu 1 tatlı kaşığı | Bisküvi 8 adet,5,1. Krema ve şekeri 6-8 dakika kaynatın. || 2. Ocaktan alıp limon suyu ve kabuğunu ekleyin. || 3. Kaselere paylaştırıp 4 saat soğutun.,3,"SUT,GLUTEN","vejetaryen,pratik",Limon suyunu kremayı ocaktan aldıktan sonra ekleyin; kıvam bu aşamada oluşur.,Kıtır bisküvi ve limon kabuğu ile servis edin.
limonlu-zencefil-cayi,Limonlu Zencefil Çayı,"Limonlu zencefil çayı, parlak asit ve kök sıcaklığını aynı fincanda toplayan sade bir sıcak içecektir.",ICECEK,tr,EASY,4,8,12,2,18,Taze zencefil 15 gr | Limon 1 adet | Su 500 ml,3,1. Zencefili ince dilimleyin. || 2. Zencefili 6 dakika suda kaynatın. || 3. Limonu fincanlara pay edip çayı üzerine dökün.,3,,"alkolsuz,kis-tarifi,dusuk-kalorili,vejetaryen,vegan",Zencefili ince kesmek kısa sürede daha dengeli aroma verir.,İnce limon dilimleriyle sıcak servis edin.
lohikeitto,Lohikeitto,"Fin lohikeitto çorbası, somon, patates ve dereotunu kremalı yumuşak bir kasede toplar.",CORBA,se,EASY,20,30,50,5,310,Somon fileto 500 gr | Patates 4 adet | Krema 200 ml | Dereotu 0.5 demet,4,1. Patatesleri küp doğrayıp 20 dakika haşlayın. || 2. Krema ve somonu ekleyin. || 3. Çorbayı 5 dakika daha pişirip dereotu ekleyin.,3,"SUT,DENIZ_URUNLERI",yuksek-protein,Somonu son 5 dakikada ekleyin; uzun kaynarsa parçalar kurur.,Çavdar ekmeği ve taze dereotu ile sıcak servis edin.
lokma-tatlisi,Lokma Tatlısı,Mayalı hamurun kızartılıp şerbete atılmasıyla hazırlanan çıtır geleneksel tatlı.,TATLI,tr,MEDIUM,50,25,75,8,340,Un 3 su bardağı — Hamur için | Ilık su 2 su bardağı — Hamur için | Kuru maya 1 tatlı kaşığı — Hamur için | Şeker 2 su bardağı — Şerbet için | Su 2 su bardağı — Şerbet için | Limon suyu 1 tatlı kaşığı — Şerbet için | Sıvı yağ 3 su bardağı — Hamur için,7,"1. Şeker ve suyu 10 dakika kaynatıp limon suyunu ekleyin, şerbeti soğutun. || 2. Hamur malzemelerini karıştırıp 35 dakika mayalandırın. || 3. Hamurdan küçük parçalar kızartıp soğuk şerbete alın.",3,GLUTEN,"vegan,misafir-sofrasi,vejetaryen",Lokmaları sıcak yağdan çıkarıp soğuk şerbete alın; dışı çıtır kalır.,Tarçın serperek servis edin.
lomo-saltado,Lomo Saltado,"Peru wok tavalarında dana eti, soya sosu, domates ve patates kızartmasıyla canlı bir tabak kurar.",YEMEK,tr,MEDIUM,25,20,45,4,530,Dana bonfile 600 gr | Patates 3 adet | Domates 3 adet | Kırmızı soğan 1 adet | Soya sosu 3 yemek kaşığı,5,"1. Patatesleri kızartıp kenara alın. || 2. Dana etini yüksek ateşte 6 dakika soteleyin. || 3. Soğan, domates, soya sosu ve patatesi ekleyip 4 dakika çevirin.",3,SOYA,yuksek-protein,Eti yüksek ateşte kısa pişirin; domates eklendiğinde diri kalması gerekir.,Beyaz pirinç ve kızarmış patatesle servis edin.
london-fog,London Fog,"Kanada kafelerinden bergamot kokulu Earl Grey, vanilya ve süt köpüğüyle yumuşar.",ICECEK,tr,EASY,5,5,10,2,140,Earl Grey çayı 2 poşet | Su 250 ml | Süt 250 ml | Vanilya 1 çay kaşığı | Bal 1 yemek kaşığı,5,"1. Earl Grey çayını sıcak suda 4 dakika demleyin. || 2. Sütü ısıtıp köpürtün. || 3. Çay, vanilya, bal ve sütü fincanlarda birleştirin.",3,SUT,"alkolsuz,30-dakika-alti,vejetaryen",Çayı 4 dakikadan uzun demlemeyin; bergamot acılığı yükselir.,İnce vanilya kokusuyla sıcak servis edin.
lor-mantisi,Lor Mantısı,"Ege lor mantısı ince hamurun içine lorlu harç alır, yoğurt ve tereyağıyla hafif bir tabak olur.",YEMEK,cn,HARD,60,15,75,4,330,Un 400 gr | Yumurta 1 adet | Lor peyniri 250 gr | Yoğurt 300 gr,4,"1. Un, yumurta ve suyla mantı hamuru yoğurun. || 2. Hamuru açıp lorla doldurun. || 3. Mantıları 12-15 dakika haşlayıp yoğurtla servis edin.",3,"GLUTEN,SUT,YUMURTA",vejetaryen,,
lorlu-biberli-krep,Lorlu Biberli Krep,"Lorlu biberli krep, hafta sonu kahvaltısında hafif peynirli içi ince bir hamura saran yumuşak bir tabaktır.",KAHVALTI,tr,MEDIUM,20,15,35,4,280,Un 160 gr — Krep için | Yumurta 2 adet — Krep için | Lor peyniri 180 gr — İç için | Kapya biber 2 adet — İç için,4,1. Krep hamurunu çırpıp 10 dakika dinlendirin. || 2. Biberleri 5 dakika soteleyip lorla karıştırın. || 3. Krepleri pişirip içle doldurun.,3,"GLUTEN,SUT,YUMURTA",vejetaryen,Kapya biberi önceden soteleyin; çiğ bırakılırsa krebin içinde su salar.,Üzerine dereotu serpip ılık servis edin.
lorlu-yumurta-muffin,Lorlu Yumurta Muffin,"Lorlu yumurta muffin, fırında pişen porsiyonluk kalıplarıyla yüksek proteinli kahvaltı hazırlığı için uygundur.",KAHVALTI,tr,EASY,10,20,30,6,156,Yumurta 6 adet | Lor peyniri 150 gr | Ispanak 1 avuç | Maydanoz 0.25 demet,4,1. Yumurta ve loru çırpın. || 2. Ispanak ve maydanozu karışıma ekleyin. || 3. Karışımı kalıplara paylaştırıp 190°C fırında 18 dakika pişirin.,3,"SUT,YUMURTA","yuksek-protein,30-dakika-alti,vejetaryen",Karışımı kalıba üçte iki seviyede bırakmak taşmayı önler.,Yanına maydanoz yaprakları koyarak sıcak servis edin.
loubia,Loubia,Fas beyaz fasulye yemeği domatesli sos ve kimyonla kış sofralarında doyurucu bir tencere olur.,YEMEK,tr,EASY,20,75,95,5,280,Kuru fasulye 400 gr | Domates püresi 300 ml | Sarımsak 3 diş | Kimyon 1 tatlı kaşığı,4,"1. Fasulyeyi akşamdan ıslatıp süzün. || 2. Domates, sarımsak ve kimyonla tencereye alın. || 3. Kısık ateşte 75 dakika pişirin.",3,,"vegan,tek-tencere,vejetaryen",,
loukoumades,Loukoumades,"Yunan bal lokmaları kızgın yağda kabarır, üzerine bal ve tarçın gelince şenlik tatlısına döner.",TATLI,gr,MEDIUM,45,15,60,6,310,Un 350 gr | Maya 7 gr | Süt 250 ml | Bal 150 gr | Tarçın 1 çay kaşığı,5,"1. Un, maya ve sütle akışkan hamur hazırlayıp 35 dakika mayalandırın. || 2. Kaşıkla parçalar alıp kızgın yağda pişirin. || 3. Bal ve tarçınla sıcak servis edin.",3,"GLUTEN,SUT",vejetaryen,,
maakouda,Maakouda,"Kuzey Afrika patates köftesi maakouda, dışı ince çıtır içi yumuşak dokusuyla sokak atıştırmalığı olarak sevilir.",ATISTIRMALIK,ma,EASY,15,15,30,4,198,Patates 4 adet | Yumurta 1 adet | Maydanoz 0.25 demet | Kimyon 1 çay kaşığı,4,"1. Patatesleri haşlayıp ezin. || 2. Yumurta, maydanoz ve kimyonla karıştırıp köfteler şekillendirin. || 3. Az yağda iki yüzünü 6-7 dakika kızartın.",3,YUMURTA,"vejetaryen,cocuk-dostu",Patatesi sıcakken değil ılıyınca şekillendirin; karışım daha iyi toparlanır.,Harissa ya da limonlu yoğurtla servis edin.
mac-and-cheese,Mac and Cheese,Dirsek makarnanın peynirli krema sosla buluştuğu konforlu Amerikan yemeği.,YEMEK,us,EASY,10,20,30,4,520,Dirsek makarna 400 gr | Süt 2 su bardağı | Tereyağı 2 yemek kaşığı | Un 2 yemek kaşığı | Cheddar peyniri 2 su bardağı | Ekmek kırıntısı 0.5 su bardağı,6,"1. Makarnayı 8 dakika haşlayıp süzün. || 2. Tereyağı, un ve sütle sos hazırlayın. || 3. Peyniri ekleyip makarnayla karıştırın.",3,"GLUTEN,SUT","vejetaryen,cocuk-dostu",Peyniri sos ocaktan inince ekleyin; yüksek ısı peynirin yağını ayırır.,Fırınlanmış ekmek kırıntısıyla servis edin.
macar-gulasi,Macar Gulaşı,"Dana eti, patates ve tatlı kırmızı biberle pişen yoğun Macar yahni yemeği.",YEMEK,hu,MEDIUM,25,90,115,6,390,Dana eti 800 gr | Soğan 2 adet | Patates 3 adet | Domates salçası 1 yemek kaşığı | Tatlı kırmızı biber 2 yemek kaşığı | Et suyu 5 su bardağı | Ekşi krema 0.5 su bardağı,7,1. Soğanı ve dana etini tencerede 10 dakika kavurun. || 2. Salça ve kırmızı biberi ekleyip 1 dakika çevirin. || 3. Et suyu ve patatesi ekleyip 80-90 dakika kısık ateşte pişirin.,3,SUT,"tek-tencere,kis-tarifi",Kırmızı biberi ekledikten sonra yakmadan hızlıca suyu ekleyin; acılaşma olmaz.,Ekşi krema ve kıyılmış maydanozla servis edin.
madeleine,Madeleine,"Fransız madeleine keki, tereyağlı hamurun deniz kabuğu kalıpta hafifçe kabarmasıyla hazırlanır.",TATLI,fr,MEDIUM,25,12,37,8,160,Un 150 gr | Tereyağı 120 gr | Yumurta 3 adet | Şeker 120 gr,4,1. Yumurta ve şekeri kabarana kadar çırpın. || 2. Un ve eritilmiş tereyağını ekleyin. || 3. Kalıplarda 190°C fırında 10-12 dakika pişirin.,3,"GLUTEN,SUT,YUMURTA",vejetaryen,,Çay veya kahve eşliğinde servis edin.
madimak-yemegi,Madımak Yemeği,"Sivas madımağı bulgur ve soğanla pişer, bahar otlarının keskin tadını tencereye taşır.",YEMEK,tr,MEDIUM,30,35,65,4,170,Madımak 700 gr | Bulgur 0.5 su bardağı | Soğan 1 adet | Domates salçası 1 yemek kaşığı,4,"1. Soğanı zeytinyağında 5 dakika kavurun. || 2. Madımak, bulgur ve salçayı ekleyin. || 3. Üzerini geçecek suyla 30 dakika pişirin.",3,GLUTEN,"vegan,vejetaryen",,
maduros,Maduros,Küba madurosu olgun plantain dilimlerinin yağda karamelleşerek tatlı bir garnitüre dönüşmesidir.,ATISTIRMALIK,tr,EASY,10,10,20,4,180,Olgun plantain 4 adet | Sıvı yağ 300 ml | Tuz 1 çay kaşığı,3,1. Plantainleri çapraz dilimleyin. || 2. Dilimleri kızgın yağda 8-10 dakika kızartın. || 3. Kağıt havluya alıp tuz serpin.,3,,"vegan,30-dakika-alti,vejetaryen",,
magrip-nane-cayi,Mağrip Nane Çayı,"Fas ve çevresinde yüksekten dökülerek köpürtülen nane çayı, belirgin ferahlığı ve şekeriyle tanınır.",ICECEK,ma,EASY,5,10,15,4,60,Yeşil çay 2 tatlı kaşığı | Taze nane 0.5 demet | Şeker 4 yemek kaşığı | Su 1 litre,4,1. Suyu kaynatıp yeşil çayı 2 dakika demleyin. || 2. Şeker ve naneyi ekleyip 3 dakika daha bekletin. || 3. Çayı süzüp bardaklara yüksekten dökerek servis edin.,3,,"kis-tarifi,alkolsuz,30-dakika-alti,vejetaryen,vegan",Naneyi en sonda ekleyin; uzun kaynarsa çayın rengi kalsa da ferahlığı azalır.,Küçük cam bardaklarda sıcak servis edin.
magrip-saksukasi,Mağrip Şakşukası,"Kuzey Afrika tavasında domates, biber ve yumurta baharatlı sosun içinde kabarır.",KAHVALTI,cn,EASY,10,20,30,4,180,Yumurta 4 adet | Domates 5 adet | Kırmızı biber 2 adet | Kimyon 1 çay kaşığı | Ekmek 1 adet,5,"1. Domates, biber ve kimyonu tavada 12 dakika pişirin. || 2. Sosta yuvalar açıp yumurtaları kırın. || 3. Kapak kapatıp 6 dakika pişirin.",3,"YUMURTA,GLUTEN","vejetaryen,30-dakika-alti",Yumurtaları eklemeden önce sosu 12 dakika koyulaştırın; beyazlar sulu kalmaz.,Kızarmış ekmekle tavadan servis edin.
mahluta-corbasi-hatay-usulu,Mahluta Çorbası,"Mahluta çorbası, kırmızı mercimeği pirinç ve kimyonla pişirip üzerine kavrulmuş soğan eklenen Hatay işi bir başlangıçtır.",CORBA,tr,EASY,10,35,45,6,188,Kırmızı mercimek 1 su bardağı | Pirinç 0.25 su bardağı | Soğan 2 adet | Kimyon 1 tatlı kaşığı | Zeytinyağı 2 yemek kaşığı | Limon suyu 2 yemek kaşığı | Tuz 1 çay kaşığı,7,1. Mercimek ve pirinci tuzla birlikte 25 dakika yumuşayana kadar pişirin. || 2. Soğanı zeytinyağında renk alana kadar çevirip kimyonu ekleyin. || 3. Çorbayı pürüzsüz hale getirip kavrulmuş soğan ve limon suyuyla servis edin.,3,,"kis-tarifi,butce-dostu,vejetaryen,vegan",Mercimeği blenderdan geçirmeden önce birkaç dakika dinlendirmek kıvamı daha dengeli bırakır.,Üzerine limon suyu damlatarak sıcak servis edin.
mai-tai,Mai Tai,"Tiki barların rom, lime ve badem şurubuyla kurduğu tropik ama dengeli klasiği.",KOKTEYL,tr,EASY,5,0,5,1,260,Rom 60 ml | Lime suyu 25 ml | Portakal likörü 15 ml | Badem şurubu 15 ml | Buz 1 su bardağı,5,1. Tüm sıvı malzemeleri shaker'a alın. || 2. Buzla 12 saniye çalkalayın. || 3. Kırık buz dolu bardağa süzün.,3,KUSUYEMIS,"alkollu,30-dakika-alti,yaz-tarifi,vejetaryen,vegan",Badem şurubunu ölçülü kullanın; lime asidinin önüne geçmemeli.,Kırık buz ve nane dalıyla servis edin.
makroudh,Makroudh,Kuzey Afrika irmik tatlısı hurma dolgusu ve ballı şerbetle yoğun bir lokma sunar.,TATLI,ma,HARD,45,25,70,8,340,İrmik 400 gr — Hamur için | Tereyağı 120 gr — Hamur için | Hurma ezmesi 250 gr — Dolgu ve şerbet için | Bal 200 gr — Dolgu ve şerbet için | Susam 2 yemek kaşığı — Hamur için,5,1. İrmik ve tereyağıyla hamur hazırlayın. || 2. Hurma ezmesini hamurun içine yerleştirip dilimleyin. || 3. Dilimleri kızartıp ballı şerbete alın.,3,"GLUTEN,SUT,SUSAM",vejetaryen,,
malatya-kayisi-dolmasi,Malatya Kayısı Dolması,"Malatya'nın gün kurusu kayısıları cevizle doldurulur, tereyağlı şerbette parıldar.",TATLI,tr,EASY,20,15,35,6,240,Gün kurusu kayısı 400 gr | Ceviz 150 gr | Tereyağı 60 gr | Şeker 120 gr | Kaymak 150 gr,5,"1. Kayısıları sıcak suda 10 dakika bekletin. || 2. Cevizle doldurup tencereye dizin. || 3. Tereyağı, şeker ve 200 ml suyla 15 dakika pişirin.",3,"SUT,KUSUYEMIS",vejetaryen,Kayısıları sıcak suda 10 dakika bekletin; doldururken yırtılmaz.,Kaymakla servis edin.
manakish,Manakish,"Lübnan fırınlarının zahterli yassı ekmeği, susamlı karışımıyla kahvaltıdan mezeye uzanır.",YEMEK,me,MEDIUM,45,15,60,6,340,Un 3 su bardağı | Kuru maya 1 tatlı kaşığı | Zahter 4 yemek kaşığı | Susam 1 yemek kaşığı | Zeytinyağı 0.5 su bardağı,5,"1. Un, maya ve suyla hamur yoğurun. || 2. Hamuru 40 dakika mayalandırın. || 3. Zahter, susam ve zeytinyağını karıştırın. || 4. Hamura sürüp 220°C fırında 12-15 dakika pişirin.",4,"GLUTEN,SUSAM","vegan,vejetaryen",Zahteri zeytinyağıyla sürülebilir kıvama getirin; kuru serperseniz fırında dökülür.,"Domates, salatalık ve labneyle servis edin."
mandu,Mandu,"Kore mandu mantıları kıyma, lahana ve sarımsaklı içle buharda ya da tavada pişer.",YEMEK,kr,MEDIUM,45,12,57,6,310,Mantı hamuru yaprağı 30 adet | Dana kıyma 350 gr | Lahana 200 gr | Soya sosu 2 yemek kaşığı | Susam yağı 1 yemek kaşığı,5,"1. Kıyma, lahana, soya sosu ve susam yağını karıştırın. || 2. Hamur yapraklarına iç koyup kapatın. || 3. Manduları buharda 10-12 dakika pişirin.",3,"GLUTEN,SOYA,SUSAM",misafir-sofrasi,,
mango-chutney,Mango Chutney,"Mango chutney, meyveyi sirke, zencefil ve baharatla reçelsi ekşi tatlı bir sosa dönüştürür.",SOS,in,MEDIUM,15,35,50,8,85,Mango 3 adet | Elma sirkesi 120 ml | Şeker 120 gr | Zencefil 20 gr,4,"1. Mangoları küçük küp doğrayın. || 2. Mango, sirke, şeker ve zencefili tencereye alın. || 3. Kısık ateşte 35 dakika pişirin.",3,,"vegan,vejetaryen",Mangoyu küçük küp doğrayın; iri parçalar sos koyulaşmadan diri kalır.,"Köri, pakora veya peynir tabağı yanında kaşıkla servis edin."
mango-korisi,Mango Körisi,Tay usulü meyveli köri çizgisi; olgun mango acı köri macununu yumuşak bir tatlılıkla dengeler.,YEMEK,th,EASY,12,18,30,4,320,Mango 2 adet | Kokos içeceği 400 ml | Vegan köri ezmesi 2 yemek kaşığı | Nohut 240 gr | Ispanak 150 gr,5,"1. Köri ezmesini yağda 2 dakika kavurun. || 2. Kokos içeceği, mango püresi ve nohudu ekleyip 12 dakika pişirin. || 3. Mango küpleri ve ıspanağı ekleyip 3 dakika daha pişirin.",3,,"vegan,30-dakika-alti,vejetaryen","Mangonun yarısını püre yapın, yarısını küp bırakın; sos hem gövdeli hem parçalı olur.",Jasmin pirinç pilavı ile servis edin.
mango-lassi,Mango Lassi,Hint lokantalarında baharatlı yemekleri serinleten yoğurtlu mango içeceği.,ICECEK,in,EASY,6,0,6,2,220,Mango 2 adet | Yoğurt 300 gr | Süt 150 ml | Bal 1 yemek kaşığı | Kakule 1 tutam,5,"1. Mango etini çıkarıp blendera alın. || 2. Yoğurt, süt, bal ve kakuleyi ekleyip 45 saniye karıştırın. || 3. Soğuk servis edin.",3,SUT,"vejetaryen,30-dakika-alti,yaz-tarifi",Olgun mango kullanın; ek şeker ihtiyacı azalır.,Üzerine kakule serpin.
mango-lassi-shake,Mango Lassi Shake,"Olgun mango ve yoğurtla hazırlanan lassi, tatlı ve serin yapısıyla baharatlı yemeklerden sonra iyi gider.",ICECEK,in,EASY,7,0,7,2,190,Mango 2 adet | Yoğurt 250 gr | Süt 120 ml | Kakule 1 çimdik,4,"1. Mangoyu küp doğrayıp blendera alın. || 2. Yoğurt, süt ve kakuleyi ekleyin. || 3. Karışımı pürüzsüz olana kadar çekin.",3,SUT,"alkolsuz,30-dakika-alti,vejetaryen",Mango çok lifliyse karışımı süzmek içimi daha ipeksi yapar.,Üzerine az kakule serperek soğuk servis edin.
mango-smoothie,Mango Smoothie,"Taze mango, yoğurt ve bal ile hazırlanan tropik smoothie.",ICECEK,tr,EASY,5,0,5,2,180,Mango 1 adet | Yoğurt 150 gr | Bal 1 yemek kaşığı | Süt 100 ml | Buz 4 adet,5,1. Mangoyu soyup küp küp doğrayın. || 2. Tüm malzemeleri blender'da pürüzsüz olana kadar çekin.,2,SUT,"vejetaryen,30-dakika-alti,pratik,yaz-tarifi",Dondurulmuş mango kullanırsanız buz eklemenize gerek kalmaz.,
mango-sticky-rice,Mango Sticky Rice,"Tayland'ın sokak tatlısı, yapışkan pirinç, hindistan cevizi sütü ve olgun mangoyla serin servis edilir.",TATLI,th,MEDIUM,30,25,55,4,390,Yapışkan pirinç 1.5 su bardağı | Kokos içeceği 400 ml | Şeker 0.5 su bardağı | Mango 2 adet | Susam 1 yemek kaşığı,5,1. Pirinci 30 dakika suda bekletin. || 2. Pirinci buharda 25 dakika pişirin. || 3. Hindistan cevizi sütü ve şekeri ısıtıp pirince karıştırın. || 4. Mango dilimleriyle servis edin.,4,SUSAM,"vegan,yaz-tarifi,vejetaryen",Pirinç buharda piştikten sonra sıcak halde tatlı sütü çeker.,Susam serperek servis edin.
mango-zerdecal-smoothie,Mango Zerdeçal Smoothie,"Mango zerdeçal smoothie, parlak tropik tadı hafif baharatlı sıcaklıkla birleştiren canlı renkli bir bardaktır.",ICECEK,us,EASY,6,0,6,2,166,Mango 250 gr | Portakal suyu 250 ml | Zerdeçal 0.25 çay kaşığı | Limon suyu 1 tatlı kaşığı,4,"1. Mango parçalarını blender kabına alın. || 2. Portakal suyu, zerdeçal ve limon suyunu ekleyin. || 3. Karışımı 35 saniye çekip soğuk servis edin.",3,,"alkolsuz,yaz-tarifi,vejetaryen,vegan",Zerdeçalı az tutmak mango aromasını öne çıkarır.,Üzerine küçük mango küpleri serperek servis edin.
manhattan,Manhattan,"Viski, tatlı vermut ve bitterle hazırlanan klasik karıştırma kokteyli.",KOKTEYL,tr,EASY,5,0,5,1,190,Rye viski 60 ml | Tatlı vermut 30 ml | Angostura bitter 2 damla | Buz 1 su bardağı | Kokteyl kirazı 1 adet,5,"1. Viski, vermut ve bitteri buz dolu karıştırma bardağına alın. || 2. Karışımı 25 saniye karıştırın. || 3. Soğuk kadehe süzüp kirazla servis edin.",3,,"alkollu,misafir-sofrasi,vejetaryen,vegan",Manhattan çalkalanmaz; buzla karıştırmak berrak ve ipeksi doku verir.,Kokteyl kirazı ile servis edin.
mansaf,Mansaf,"Ürdün sofralarının tören yemeği; kuzu eti, fermente yoğurt sosu ve pilav geniş tepside buluşur.",YEMEK,tr,HARD,25,120,145,6,620,Kuzu eti 900 gr | Süzme yoğurt 500 gr | Pirinç 2 su bardağı | Badem 80 gr | Kakule 4 adet | Tuz 1.5 çay kaşığı,6,"1. Kuzu etini kakule ve tuzla 90 dakika haşlayın. || 2. Yoğurdu et suyuyla açıp 20 dakika çırparak pişirin. || 3. Pilavın üzerine eti koyun, yoğurt sosu ve bademle servis edin.",3,"SUT,KUSUYEMIS",misafir-sofrasi,Yoğurt sosunu kaynatırken sürekli çırpın; kesilmeden parlak kalır.,Badem ve maydanozla geniş servis tepsisinde sunun.
