slug,title,description,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients,ingredient_count,steps,step_count,allergens,tags,tipNote,servingSuggestion
elmali-tarcinli-komposto,Elmalı Tarçınlı Komposto,"Elma dilimleri, tarçın ve karanfille kaynatılan hafif meyve kompostosu.",ICECEK,tr,EASY,10,20,30,6,95,Elma 5 adet | Su 1.5 litre | Şeker 0.75 su bardağı | Tarçın çubuğu 1 adet | Karanfil 4 adet | Limon suyu 1 yemek kaşığı,6,"1. Elmaları iri dilimleyip tencereye alın. || 2. Su, şeker, tarçın ve karanfili ekleyip 18-20 dakika kaynatın. || 3. Limon suyunu ekleyip kompostoyu oda sıcaklığına getirin.",3,,"vegan,alkolsuz,kis-tarifi,vejetaryen",Elma dilimlerini çok inceltmeyin; pişerken dağılmadan formunu korur.,Soğuk kaselerde meyvesiyle servis edin.
elmali-tarcinli-smoothie,Elmalı Tarçınlı Smoothie,"Elma, yoğurt ve tarçınla hazırlanan bu smoothie hafif tatlı yapısıyla kahvaltı arası için iyi çalışır.",ICECEK,tr,EASY,5,0,5,2,150,Elma 2 adet | Yoğurt 200 gr | Süt 150 ml | Tarçın 0.5 çay kaşığı,4,"1. Elmaları doğrayıp blendera alın. || 2. Yoğurt, süt ve tarçını ekleyin. || 3. Karışımı pürüzsüz olana kadar çekin.",3,SUT,"alkolsuz,30-dakika-alti,vejetaryen",Elmayı kabuğuyla kullanırsanız lif artar; çekirdek yatağını temizlemek yeterli olur.,Bardağın üstüne az tarçın serpip soğuk servis edin.
elmali-tart,Elmalı Tart,Tarçınlı elma harcı ve gevrek tart hamuruyla hazırlanan klasik tatlı.,TATLI,tr,MEDIUM,35,35,70,8,390,Un 2.5 su bardağı | Tereyağı 150 gr | Yumurta 1 adet | Elma 4 adet | Şeker 0.75 su bardağı | Tarçın 1 tatlı kaşığı,6,"1. Un, tereyağı ve yumurtayla hamur yoğurup 20 dakika dinlendirin. || 2. Rendelenmiş elma, şeker ve tarçını 10 dakika pişirip soğutun. || 3. Hamur ve harcı kalıba yerleştirip 180°C fırında 30-35 dakika pişirin.",3,"GLUTEN,SUT,YUMURTA","vejetaryen,firinda",Elma harcını soğutun; sıcak harç tart hamurunun yağını eritir.,Üzerine pudra şekeri serperek servis edin.
elote,Elote,"Meksika sokak mısırı közlenmiş koçanın mayonez, peynir, lime ve acıyla kaplanmış halidir.",ATISTIRMALIK,mx,EASY,10,15,25,4,240,Mısır koçanı 4 adet | Mayonez 4 yemek kaşığı | Beyaz peynir 100 gr | Lime 1 adet,4,1. Mısırları ızgarada 15 dakika çevirerek pişirin. || 2. Mayonez sürüp peynir ve acı biber serpin. || 3. Lime suyu sıkarak servis edin.,3,"YUMURTA,SUT","pratik,vejetaryen",,
empadao-de-frango,Empadão de Frango,"Empadão de frango, tavuklu içi kapalı hamur kabuğunda pişiren ve dilimlenerek servis edilen Brezilya turtasıdır.",YEMEK,br,MEDIUM,35,35,70,8,344,Un 500 gr — Hamur için | Tereyağı 150 gr — Hamur için | Yumurta 1 adet — Hamur için | Haşlanmış tavuk eti 400 gr — İç için | Soğan 1 adet — İç için | Maydanoz 0.25 demet — Servis için,6,1. Hamuru yoğurup 20 dakika dinlendirin. || 2. Tavuk ve soğanla iç harcı hazırlayın. || 3. Hamuru kapatıp turtayı 190°C fırında 30 dakika pişirin ve maydanozla servis edin.,3,"GLUTEN,SUT,YUMURTA",misafir-sofrasi,"İçi soğutup yerleştirmek, alt hamurun gevrek kalmasına yardım eder.",Yanına maydanoz yaprakları koyarak sıcak servis edin.
empanada,Empanada,Kıymalı iç harçla doldurulan yarım ay şeklinde fırın hamur işi.,YEMEK,tr,MEDIUM,45,25,70,6,350,Un 3 su bardağı | Tereyağı 100 gr | Su 0.75 su bardağı | Dana kıyma 300 gr | Soğan 1 adet | Kırmızı biber 1 adet | Yumurta sarısı 1 adet,7,"1. Un, tereyağı ve suyla hamur yoğurup 20 dakika dinlendirin. || 2. Kıyma, soğan ve biberi 10 dakika kavurup soğutun. || 3. Hamuru doldurup kapatın, yumurta sürerek 190°C fırında 22-25 dakika pişirin.",3,"GLUTEN,SUT,YUMURTA","firinda,misafir-sofrasi",İç harcı soğutmadan hamura koymayın; sıcak harç hamuru yumuşatır.,Domatesli acı sosla servis edin.
enchiladas-rojas,Enchiladas Rojas,"Kırmızı biber sosuna batırılan tortilla ruloları, Meksika sofralarında peynirle fırınlanır.",YEMEK,mx,MEDIUM,30,30,60,4,480,Mısır tortilla 8 adet | Haşlanmış tavuk 2 su bardağı | Kırmızı biber sosu 2 su bardağı | Rende peynir 1 su bardağı | Soğan 1 adet,5,1. Tortillaları tavada 20 saniye ısıtın. || 2. Tavuk ve soğanla doldurup rulo yapın. || 3. Sos ve peynirle tepsiye dizin. || 4. 190°C fırında 20 dakika pişirin.,4,SUT,"firinda,misafir-sofrasi",Tortillaları kısa süre ısıtın; soğuk tortilla sararken çatlar.,Ekşi krema ve marulla servis edin.
enerji-toplari,Enerji Topları,"Hurma, yulaf, kakao ve fındıkla hazırlanan pişmeyen atıştırmalık toplar.",ATISTIRMALIK,tr,EASY,15,0,15,8,210,Hurma 12 adet | Yulaf ezmesi 1 su bardağı | Fındık 0.5 su bardağı | Kakao 3 yemek kaşığı,4,"1. Hurmaların çekirdeklerini çıkarın. || 2. Hurma, yulaf, fındık ve kakaoyu robottan geçirin. || 3. Karışımdan toplar yapıp kakaoya bulayın.",3,"GLUTEN,KUSUYEMIS","vegan,pratik,vejetaryen",Hurmalar sertse 10 dakika sıcak suda bekletin; karışım daha kolay toparlanır.,Kahve yanında soğuk servis edin.
ensalada-de-aguacate,Ensalada de Aguacate,"Küba avokado salatası kırmızı soğan, limon ve zeytinyağıyla et yemeklerinin yanında serinlik verir.",SALATA,tr,EASY,15,0,15,4,170,Avokado 3 adet | Kırmızı soğan 1 adet | Limon suyu 2 yemek kaşığı | Zeytinyağı 3 yemek kaşığı,4,"1. Avokadoları iri dilimleyin. || 2. Kırmızı soğanı ince doğrayın. || 3. Avokado, soğan, limon ve zeytinyağını nazikçe karıştırın.",3,,"vegan,pratik,vejetaryen",,
erzincan-kesme-corbasi,Erzincan Kesme Çorbası,"Erzincan kesme çorbası erişte, yeşil mercimek ve yoğurtla kış sofralarına tok bir kase getirir.",CORBA,tr,MEDIUM,25,35,60,6,250,Ev eriştesi 200 gr | Yeşil mercimek 1 su bardağı | Yoğurt 300 gr | Yumurta 1 adet,4,1. Mercimeği 20 dakika haşlayın. || 2. Erişteyi ekleyip 10 dakika pişirin. || 3. Yoğurt ve yumurtayı alıştırarak çorbaya ekleyin.,3,"GLUTEN,SUT,YUMURTA","kis-tarifi,vejetaryen",,
erzurum-ayran-asi,Erzurum Ayran Aşı,"Erzurum ayran aşı, yoğurt, buğday ve nohutla hem serin hem doyurucu bir yöre çorbasıdır.",CORBA,tr,MEDIUM,20,45,65,6,240,Yoğurt 600 gr | Haşlanmış buğday 1 su bardağı | Haşlanmış nohut 1 su bardağı | Nane 1 tatlı kaşığı,4,1. Buğday ve nohudu 20 dakika kaynatın. || 2. Yoğurdu sıcak suyla alıştırıp tencereye ekleyin. || 3. Çorbayı 15 dakika karıştırarak pişirin.,3,"SUT,GLUTEN",vejetaryen,Yoğurdu sıcak sudan kaşık kaşık alıştırın; kesilme riski azalır.,Taze nane ve zeytinyağı gezdirerek ılık servis edin.
erzurum-cag-kebabi,Erzurum Cağ Kebabı,"Erzurum ocaklarında yatay şişte dönen kuzu eti, ince lavaşa sıcak sıcak alınır.",YEMEK,th,HARD,40,60,100,6,540,Kuzu but 1 kg | Soğan suyu 150 ml | Yoğurt 150 gr | Tuz 1 tatlı kaşığı | Lavaş 6 adet,5,1. Kuzu etini ince dilimleyip soğan suyu ve yoğurtla 6 saat marine edin. || 2. Eti şişe geçirip ızgarada 60 dakika çevirerek pişirin. || 3. Pişen dış katmanı kesip lavaşla servis edin.,3,"SUT,GLUTEN","misafir-sofrasi,yuksek-protein",Eti soğan suyu ve yoğurtla en az 6 saat marine edin; şişte kurumadan pişer.,"Lavaş, soğan ve köz biberle servis edin."
escondidinho,Escondidinho,"Brezilya escondidinho, etli iç harcı manyok püresinin altında fırında saklayan doyurucu bir yemektir.",YEMEK,tr,MEDIUM,35,40,75,6,440,Dana kıyma 500 gr | Manyok 900 gr | Süt 150 ml | Kaşar peyniri 120 gr,4,1. Manyoku haşlayıp sütle püre yapın. || 2. Kıymayı soğanla 12 dakika kavurun. || 3. Kıyma ve püreyi fırın kabına alıp 20 dakika pişirin.,3,SUT,firinda,,
espinacas-con-garbanzos,Espinacas con Garbanzos,"Endülüs mutfağında nohut ve ıspanak, kimyonlu kısa bir sosta birleşip ekmeklik doyurucu bir yemek olur.",YEMEK,es,EASY,10,20,30,4,270,Haşlanmış nohut 400 gr | Ispanak 400 gr | Sarımsak 2 diş | Domates püresi 1 su bardağı | Kimyon 1 çay kaşığı,5,1. Sarımsağı zeytinyağında 1 dakika çevirip domates püresini ekleyin. || 2. Nohut ve kimyonu katıp 5 dakika pişirin. || 3. Ispanağı ekleyip sönene kadar 6-7 dakika çevirin.,3,,"vegan,30-dakika-alti,vejetaryen",Ispanağı iki partide ekleyin; tavada sönünce hacmi kontrol etmek daha kolay olur.,Yanına kızarmış köy ekmeği koyarak servis edin.
espresso-martini,Espresso Martini,"Votka, kahve likörü ve taze espressoyla yapılan köpüklü modern kokteyl.",KOKTEYL,tr,MEDIUM,7,0,7,1,210,Votka 45 ml | Kahve likörü 25 ml | Espresso 30 ml | Şeker şurubu 10 ml | Buz 6 adet,5,"1. Espressoyu demleyin ve 2 dakika soğutun. || 2. Shaker'a votka, kahve likörü, espresso, şeker şurubu ve buz koyun. || 3. 15 saniye sert sallayın ve kokteyl bardağına süzün.",3,,"alkollu,30-dakika-alti,vejetaryen,vegan",Espressoyu taze demleyip hızlı soğutun; sıcak kahve buzu fazla eritir.,Üzerine 3 kahve çekirdeği koyun.
espresso-protein-shake,Espresso Protein Shake,"Espresso, süt, muz ve protein tozuyla hazırlanan kahveli shake.",ICECEK,tr,EASY,5,0,5,1,260,Espresso 60 ml | Süt 1 su bardağı | Muz 1 adet | Protein tozu 1 ölçek | Buz 0.5 su bardağı,5,"1. Espressoyu hazırlayıp soğutun. || 2. Süt, muz, protein tozu ve buzu blendera alın. || 3. Espressoyu ekleyip 45 saniye çekin.",3,SUT,"yuksek-protein,alkolsuz,pratik,vejetaryen",Espressoyu shake'e eklemeden soğutun; buz hızlı erimez.,Spor sonrası soğuk servis edin.
espresso-tonic,Espresso Tonic,"Espresso tonic, soğuk tonik ve sıcak espressoyu acı ferah bir kahve içeceğinde buluşturur.",ICECEK,us,EASY,5,0,5,1,75,Espresso 40 ml | Tonik 160 ml | Buz 1 su bardağı | Portakal kabuğu 1 adet,4,1. Bardağı buzla doldurun. || 2. Toniği bardağa dökün. || 3. Espressoyu yavaşça üstten ekleyin.,3,,"alkolsuz,30-dakika-alti,vejetaryen,vegan",Espressoyu kaşık sırtına dökün; tonik daha az köpürür.,Uzun bardakta portakal kabuğu ile servis edin.
esquites,Esquites,"Esquites, mısır tanelerini lime, peynir ve acı biberle bardakta servis edilen sokak lezzetine çevirir.",ATISTIRMALIK,mx,EASY,15,12,27,4,220,Mısır tanesi 500 gr | Mayonez 2 yemek kaşığı | Beyaz peynir 80 gr | Lime suyu 2 yemek kaşığı,4,"1. Mısırı tavada 12 dakika kavurun. || 2. Mayonez, peynir ve lime suyunu ekleyin. || 3. Karışımı bardaklara paylaştırın.",3,"SUT,YUMURTA","vejetaryen,30-dakika-alti",Mısırı tavada hafif karamelize edin; haşlama mısır aynı aromayı vermez.,"Bardakta, lime dilimi ve pul biberle servis edin."
esquites-con-queso,Esquites con Queso,"Bardakta servis edilen Meksika sokak mısırı, lime ve peynirle ılık yenilen hareketli bir atıştırmalıktır.",ATISTIRMALIK,mx,EASY,10,12,22,4,232,Mısır taneleri 3 su bardağı | Tereyağı 1 yemek kaşığı | Meksika peyniri 0.5 su bardağı | Lime suyu 1 yemek kaşığı | Mayonez 2 yemek kaşığı,5,1. Mısırı tereyağında 8 dakika çevirerek kavurun. || 2. Mayonez ve lime suyunu karıştırın. || 3. Mısırı bardaklara alıp sos ve peynir ekleyin.,3,"SUT,YUMURTA","30-dakika-alti,cocuk-dostu,vejetaryen",Mısırı tavada hafif renk alana kadar çevirin; dumanlı tat esquites'i güçlendirir.,Küçük bardaklarda lime ve pul biberle servis edin.
etli-ekmek,Etli Ekmek,"Konya'nın uzun ince hamuru, kıyma, domates ve biberle taş fırın tadında çıtır pişer.",YEMEK,tr,MEDIUM,45,15,60,4,520,Un 3 su bardağı — Hamur için | Kuru maya 1 tatlı kaşığı — Hamur için | Dana kıyma 400 gr — İç için | Domates 2 adet — İç için | Yeşil biber 3 adet — İç için,5,"1. Hamuru yoğurup 40 dakika mayalandırın. || 2. Kıyma, domates ve biberi karıştırın. || 3. Hamuru uzun açıp harcı ince yayın. || 4. 230°C fırında 12-15 dakika pişirin.",4,GLUTEN,yuksek-protein,Harcı hamura ince yayın; kalın harç hamurun çıtırlaşmasını engeller.,"Maydanoz, soğan ve limonla servis edin."
etli-ekmek-konya-usulu,Etli Ekmek,"Konya'nın etli ekmeği, ince uzun açılmış hamurun kıymalı harçla taş fırın düzeninde piştiği yerel bir klasiktir.",YEMEK,tr,MEDIUM,40,20,60,6,356,Un 600 gr — Hamur için | Su 320 ml — Hamur için | Dana kıyma 400 gr — İç için | Soğan 1 adet — İç için | Kapya biber 2 adet — İç için | Domates 2 adet — İç için | Tuz 1.5 çay kaşığı — İç için | Maydanoz 0.5 demet — Servis için | Limon 1 adet — Servis için,9,"1. Un ve suyla hamur yoğurup 25 dakika dinlendirin. || 2. Kıyma, soğan, biber, domates ve tuzu ince kıyıp harcı hazırlayın. || 3. Hamuru uzun açıp harcı yayın ve 240°C fırında 12 dakika pişirin.",3,GLUTEN,misafir-sofrasi,Harcı sulu bırakmayın; fazla su hamurun ortasını hamurumsu bırakır.,Yanına maydanoz ve limon dilimleri koyarak servis edin.
etli-guvec,Etli Güveç,"Et, patlıcan, biber ve domatesin güveçte uzun süre pişmesiyle hazırlanan bereketli yemek.",YEMEK,tr,MEDIUM,25,90,115,6,410,Kuzu kuşbaşı 700 gr | Patlıcan 3 adet | Domates 4 adet | Yeşil biber 4 adet | Soğan 2 adet | Sarımsak 5 diş | Zeytinyağı 4 yemek kaşığı | Tuz 1.5 tatlı kaşığı,8,"1. Et ve iri doğranmış sebzeleri güveç kabına yerleştirin. || 2. Zeytinyağı, tuz ve sarımsağı ekleyip kabın kapağını kapatın. || 3. 180°C fırında 85-90 dakika pişirin.",3,,"firinda,misafir-sofrasi",Güvecin kapağını sıkı kapatın; içeride oluşan buhar eti kurutmadan pişirir.,Tandır ekmeği veya bulgur pilavıyla servis edin.
etli-kuru-fasulye,Etli Kuru Fasulye,Dana eti ve kuru fasulyenin salçalı sosla ağır ağır piştiği klasik tencere yemeği.,YEMEK,tr,MEDIUM,20,90,110,6,420,Kuru fasulye 2 su bardağı | Dana eti 300 gr | Soğan 1 adet | Domates salçası 1 yemek kaşığı | Biber salçası 1 tatlı kaşığı | Sıcak su 5 su bardağı,6,"1. Fasulyeyi bir gece suda bekletip süzün. || 2. Dana eti ve soğanı tencerede 10 dakika kavurun. || 3. Fasulye, salça ve sıcak suyu ekleyip 80-90 dakika pişirin.",3,,"tek-tencere,kis-tarifi",Fasulyeyi bir gece suda bekletin; pişme süresi kısalır ve taneler eşit yumuşar.,Pirinç pilavı ve turşuyla servis edin.
etli-nohut,Etli Nohut,Kuşbaşı et ile pişirilen klasik nohut yemeği. Pilavın en iyi dostu.,YEMEK,tr,MEDIUM,15,60,75,6,320,Nohut (haşlanmış) 2 su bardağı | Kuşbaşı dana eti 300 gr | Soğan 1 adet | Domates salçası 1 yemek kaşığı | Tereyağı 2 yemek kaşığı | Tuz 1 çay kaşığı | Karabiber 0.5 çay kaşığı,7,"1. Eti tereyağında sote yapın, soğanı ekleyip kavurun. || 2. Salçayı ekleyin, 1-2 dakika kavurun. || 3. Haşlanmış nohutu ve 2 su bardağı su ekleyin. || 4. Kısık ateşte 45-60 dakika pişirin.",4,SUT,"tek-tencere,yuksek-protein,kis-tarifi",Nohutu bir gece önceden suda bekletin.,Pirinç pilavı ve turşu ile servis edin.
ezogelin-corbasi,Ezogelin Çorbası,"Türk mutfağının en sevilen çorbası. Kırmızı mercimek, bulgur ve salça ile hazırlanır.",CORBA,tr,EASY,10,25,35,6,145,Kırmızı mercimek 1 su bardağı | İnce bulgur 3 yemek kaşığı | Pirinç 2 yemek kaşığı | Soğan 1 adet | Domates salçası 1 yemek kaşığı | Biber salçası 1 yemek kaşığı | Tereyağı 2 yemek kaşığı | Nane 1 çay kaşığı | Pul biber 0.5 çay kaşığı | Tuz 1 çay kaşığı,10,"1. Soğanı tereyağında kavurun. Salçaları ekleyip 1 dk kavurun. || 2. Yıkanmış mercimek, bulgur ve pirinci ekleyin. || 3. 6 su bardağı su ekleyin, kaynayana kadar karıştırın. || 4. Kısık ateşte 25 dakika pişirin. || 5. Tuz, nane ve pul biber ile tatlandırın.",5,"GLUTEN,SUT","butce-dostu,kis-tarifi,vejetaryen","Çorbayı blenderdan geçirmeyin, dokusu öyle daha güzel.",Limon ve kuru nane ile servis edin.
fabada-asturiana,Fabada Asturiana,"Asturias fabadası, iri beyaz fasulye ve tütsülü etlerle yavaş pişen kışlık bir İspanyol tenceresidir.",YEMEK,es,MEDIUM,25,120,145,6,560,Beyaz fasulye 500 gr | Dana sucuk 250 gr | Tütsülü et 250 gr | Safran 0.5 çay kaşığı,4,1. Fasulyeyi bir gece ıslatın. || 2. Etler ve safranla tencereye alın. || 3. Kısık ateşte 2 saat pişirin.,3,,tek-tencere,,"Sıcak olarak, ekmek ile servis edin."
fagioli-all-uccelletto,Fagioli all'Uccelletto,"Toskana usulü beyaz fasulye, adaçayı ve domatesle sade bir tencere yemeğine dönüşür.",YEMEK,it,EASY,10,25,35,4,310,Haşlanmış beyaz fasulye 500 gr | Domates püresi 1.5 su bardağı | Sarımsak 2 diş | Adaçayı 6 yaprak | Zeytinyağı 2 yemek kaşığı,5,1. Sarımsak ve adaçayını zeytinyağında 2 dakika çevirin. || 2. Domates püresini ekleyip 8 dakika kaynatın. || 3. Fasulyeyi katıp 12 dakika kısık ateşte pişirin.,3,,"vejetaryen,butce-dostu,vegan",Fasulyeyi ezmeden çevirmek için tencereyi kaşıkla değil hafifçe sallayın.,Izgara sosis ya da kızarmış ekmek eşliğinde servis edin.
falafel,Falafel,"Nohut, yeşillik ve baharatlarla hazırlanan, dışı çıtır Orta Doğu köftesi.",YEMEK,me,MEDIUM,30,20,50,4,360,Nohut 2 su bardağı | Soğan 1 adet | Sarımsak 3 diş | Maydanoz 0.5 demet | Kişniş 0.25 demet | Kimyon 1 tatlı kaşığı | Tuz 1 tatlı kaşığı | Kabartma tozu 1 çay kaşığı | Susam 2 yemek kaşığı | Sıvı yağ 2 su bardağı,10,"1. Nohudu bir gece suda bekletip süzün. || 2. Nohut, soğan, sarımsak, yeşillikler, kimyon ve tuzu robotta taneli harç olana kadar çekin. || 3. Kabartma tozunu ekleyin ve harcı buzdolabında 30 dakika dinlendirin. || 4. Harçtan küçük toplar yapıp susama bulayın. || 5. Kızgın yağda her tarafı koyu altın rengi olana kadar 4-5 dakika kızartın.",5,SUSAM,"vegan,misafir-sofrasi,vejetaryen",Konserve nohut kullanmayın; bir gece ıslatılmış çiğ nohut falafelin dağılmadan kızarmasını sağlar.,"Tahin sosu, lavaş ve turşuyla servis edin."
farofa,Farofa,"Kavrulmuş manyok unu, tereyağı ve soğanla Brezilya tabaklarına çıtır bir eşlikçi olur.",SOS,br,EASY,10,12,22,6,180,Manyok unu 250 gr | Tereyağı 60 gr | Soğan 1 adet | Maydanoz 0.5 demet,4,1. Soğanı tereyağında 5 dakika kavurun. || 2. Manyok ununu ekleyip 7 dakika karıştırarak kavurun. || 3. Maydanozu ekleyip ocaktan alın.,3,SUT,"pratik,30-dakika-alti,vejetaryen",Manyok ununu orta ateşte kavurun; rengi altına dönünce aromasını verir.,Feijoada ve ızgara et yanında servis edin.
fasolada,Fasolada,"Yunan fasolada çorbası beyaz fasulye, havuç ve domatesle zeytinyağlı bir tencere kurar.",YEMEK,gr,EASY,20,80,100,6,270,Kuru fasulye 400 gr | Havuç 2 adet | Domates püresi 300 ml | Zeytinyağı 80 ml,4,"1. Fasulyeyi bir gece ıslatıp süzün. || 2. Fasulye, havuç ve domatesi tencereye alın. || 3. Kısık ateşte 80 dakika pişirin.",3,,"vegan,tek-tencere,vejetaryen",,Zeytinyağı gezdirip ekmek ile servis edin.
fasolakia,Fasolakia,"Yunan usulü yeşil fasulye, domatesli zeytinyağlı sosta uzun pişerek ekmeğe banmalık bir sebze yemeği olur.",YEMEK,gr,EASY,15,35,50,4,170,Taze fasulye 700 gr | Domates 3 adet | Soğan 1 adet | Zeytinyağı 4 yemek kaşığı | Tuz 1 çay kaşığı,5,1. Soğanı zeytinyağında 4 dakika çevirin. || 2. Domatesi ve fasulyeyi ekleyip kapağı kapalı 30 dakika pişirin. || 3. Tuzunu ayarlayıp ılık servis edin.,3,,"vegan,butce-dostu,vejetaryen",Fasulyeyi çok karıştırmadan pişirin; uzun pişme süresinde taneler diri kalır.,Yanına feta ve limonlu patatesle servis edin.
fasulye-diblesi,Fasulye Diblesi,Taze fasulye ve pirincin aynı tencerede piştiği Karadeniz usulü yemek.,YEMEK,tr,EASY,20,30,50,5,220,Taze fasulye 700 gr | Pirinç 0.75 su bardağı | Soğan 1 adet | Domates 2 adet | Zeytinyağı 0.5 çay bardağı | Yoğurt 1 su bardağı,6,1. Fasulyeleri ince doğrayıp soğanla 10 dakika kavurun. || 2. Domates ve suyu ekleyip 10 dakika pişirin. || 3. Pirinci ekleyip 15 dakika daha pişirin.,3,SUT,"vejetaryen,tek-tencere",Pirinci sonradan ekleyin; fasulye yumuşamadan pirinç lapa olmaz.,Sarımsaklı yoğurtla servis edin.
fasulye-diblesi-giresun-usulu,Fasulye Diblesi,"Giresun usulü fasulye diblesi, taze fasulyeyi pirinç ve dereotuyla hafif sulu bırakmadan pişiren ev işi bir Karadeniz yemeğidir.",YEMEK,tr,EASY,15,30,45,4,232,Taze fasulye 700 gr | Pirinç 0.75 su bardağı | Soğan 1 adet | Dereotu 0.5 demet | Zeytinyağı 3 yemek kaşığı | Tuz 1 çay kaşığı,6,"1. Soğanı zeytinyağında 5 dakika çevirin ve fasulyeyi ekleyin. || 2. Pirinç, tuz ve 1.5 su bardağı sıcak su ekleyin. || 3. Tencereyi kapatıp yemeği 20 dakika pişirin ve dereotuyla tamamlayın.",3,,"vejetaryen,yaz-tarifi,tek-tencere,vegan",Pirinç ekledikten sonra fazla karıştırmayın; taze fasulye diri kalır ve diblesi tane tane olur.,Üzerine dereotu serperek ılık servis edin.
fatteh,Fatteh,"Şam kahvaltılarında çıtır ekmek, nohut ve sarımsaklı yoğurdun kat kat kurulduğu doyurucu tabak.",KAHVALTI,tr,EASY,15,10,25,4,410,Haşlanmış nohut 400 gr | Pide ekmeği 2 adet | Yoğurt 400 gr | Tahin 2 yemek kaşığı | Sarımsak 2 diş,5,"1. Pide ekmeklerini küp doğrayıp 180°C fırında 8 dakika kızartın. || 2. Yoğurt, tahin ve ezilmiş sarımsağı çırpın. || 3. Nohut, ekmek ve yoğurt sosunu kat kat tabağa alın.",3,"GLUTEN,SUT,SUSAM","vejetaryen,30-dakika-alti",Ekmekleri servis anında ekleyin; çıtırlık yoğurt altında daha uzun kalır.,Üzerine pul biberli tereyağı gezdirin.
fattoush,Fattoush,"Lübnan'ın sumaklı ekmek salatası, kızarmış pita ve çıtır sebzeyle ekşi-ferah bir kase olur.",SALATA,me,EASY,20,8,28,4,160,Pita ekmeği 2 adet | Marul 1 adet | Domates 3 adet | Salatalık 2 adet | Sumak 1 tatlı kaşığı | Limon suyu 3 yemek kaşığı,6,"1. Pita ekmeğini 180°C fırında 8 dakika kızartın. || 2. Sebzeleri doğrayıp geniş kaseye alın. || 3. Limon suyu, zeytinyağı ve sumakla karıştırın. || 4. Kızarmış pitayı ekleyip servis edin.",4,GLUTEN,"vegan,30-dakika-alti,vejetaryen",Kızarmış pitayı servis anında ekleyin; salatanın içinde beklerse yumuşar.,Izgara tavuk yanında servis edin.
fava,Fava,"Kuru bakla, soğan ve zeytinyağıyla hazırlanan pürüzsüz Ege mezesi.",APERATIF,tr,EASY,15,40,55,6,250,Kuru bakla 2 su bardağı | Soğan 1 adet | Zeytinyağı 0.5 çay bardağı | Şeker 1 çay kaşığı | Limon suyu 2 yemek kaşığı | Su 4 su bardağı | Tuz 1 çay kaşığı,7,"1. Baklayı yıkayıp soğan, su ve zeytinyağıyla tencereye alın. || 2. Bakla yumuşayana kadar 35-40 dakika pişirin. || 3. Limon suyu, şeker ve tuzu ekleyip blenderdan geçirin, kalıpta soğutun.",3,,"vegan,misafir-sofrasi,vejetaryen",Baklayı blenderdan geçirdikten sonra kalıba dökün; soğudukça kesilebilir kıvam alır.,"Dereotu, limon ve zeytinyağıyla servis edin."
fava-yunan-usulu,Fava Yunan Usulü,"Santorini favası, sarı bezelyenin pürüzsüz ezmesiyle zeytinyağını öne çıkaran sade bir Yunan mezesidir.",APERATIF,gr,EASY,10,40,50,6,230,Sarı bezelye 1.5 su bardağı | Soğan 1 adet | Zeytinyağı 4 yemek kaşığı | Limon suyu 2 yemek kaşığı,4,"1. Sarı bezelye ve doğranmış soğanı 4 su bardağı suda 35 dakika pişirin. || 2. Karışımı pürüzsüz olana kadar ezin, zeytinyağı ve limon suyunu ekleyin. || 3. Oda sıcaklığında dinlendirip servis tabağına alın.",3,,"vegan,misafir-sofrasi,vejetaryen",Bezelye tamamen yumuşayınca blender kullanmadan tel çırpıcıyla da ipeksi kıvam elde edebilirsiniz.,Üzerine kırmızı soğan ve zeytinyağı ekleyip pita ile sunun.
feijao-tropeiro,Feijão Tropeiro,"Feijão tropeiro, fasulye, manyok unu, yumurta ve etle kuru kavrulan doyurucu bir Brezilya tabağıdır.",YEMEK,br,MEDIUM,25,30,55,6,420,Haşlanmış fasulye 600 gr | Manyok unu 120 gr | Yumurta 3 adet | Dana pastırma 200 gr,4,1. Pastırmayı tavada 5 dakika kızartın. || 2. Yumurta ve fasulyeyi ekleyin. || 3. Manyok ununu ekleyip 10 dakika kavurun.,3,YUMURTA,yuksek-protein,Manyok ununu azar azar ekleyin; fazla un yemeği kuru yapar.,Pirinç ve portakal dilimleriyle servis edin.
feijoada,Feijoada,"Rio sofralarında siyah fasulye, dana eti ve tütsülü etler ağır ateşte koyu bir güvece dönüşür.",YEMEK,br,HARD,40,150,190,6,590,Siyah fasulye 500 gr | Dana kuşbaşı 500 gr | Dana sucuk 250 gr | Soğan 2 adet | Defne yaprağı 2 adet,5,"1. Fasulyeyi süzüp tencereye alın, etler ve defne yaprağıyla kaplayacak kadar su ekleyin. || 2. Kısık ateşte 2 saat pişirin. || 3. Soğanı kavurup tencereye ekleyin ve 30 dakika daha pişirin.",3,,"misafir-sofrasi,tek-tencere",Fasulyeyi bir gece ıslatın; pişirme süresi kısalır ve taneler dağılmadan yumuşar.,"Pirinç pilavı, portakal dilimi ve farofa ile servis edin."
