slug,title,description,type,cuisine,ingredients_summary,allergens,tags,tipNote,servingSuggestion
banh-mi,Banh Mi,"Saygon fırınlarından çıkan çıtır baget, salamura sebze ve aromalı etle canlı bir sandviçe dönüşür.",APERATIF,vn,Baget ekmek; Dana antrikot; Havuç; Turp; Mayonez; Soya sosu; Tuz; Sirke,"GLUTEN,SOYA,YUMURTA",misafir-sofrasi,Havuç ve turpu sirkede en az 30 dakika bekletin; sandviçin yağlı dokusunu dengeler.,Taze kişniş ve ince jalapeno dilimleriyle servis edin.
banh-tom,Banh Tom,"Banh tom, tatlı patatesli çıtır hamura oturtulan karideslerin kızarmış Vietnam atıştırmalığıdır.",APERATIF,vn,Karides; Tatlı patates; Un; Pirinç unu,"DENIZ_URUNLERI,GLUTEN",misafir-sofrasi,Tatlı patatesi kibrit inceliğinde kesin; kalın parçalar çiğ kalır.,Marul yaprakları ve nuoc cham ile servis edin.
banh-xeo,Banh Xeo,Zerdeçallı pirinç hamuru tavada çıtırlaşır; karides ve filizlerle Vietnam krepi haline gelir.,YEMEK,vn,Pirinç unu; Hindistan cevizi sütü; Karides; Maş fasulyesi filizi; Zerdeçal,DENIZ_URUNLERI,yaz-tarifi,Hamuru tavaya ince yayın; kenarlar gevrekleşince dolgu ekleyin.,Marul yaprağına sarıp limon sıkarak yiyin.
bao-bun,Bao Bun,Buharda pişen yumuşak Çin ekmeği; iç malzemelerle sandviç gibi doldurulur.,YEMEK,cn,Un; Ilık su; Kuru maya; Şeker; Sıvı yağ; Kabartma tozu,GLUTEN,"vegan,misafir-sofrasi,vejetaryen",Hamurları buharda pişirirken kapağın altına bez gerin; damlayan su yüzeyi bozmaz.,Teriyaki tavuk veya sebzeli harçla doldurun.
barbacoa-taco,Barbacoa Taco,"Meksika'nın ağır pişmiş dana eti, baharatlı suyu ve mısır tortillasıyla yumuşak taco dolgusu olur.",YEMEK,mx,Dana döş; Mısır tortilla; Sarımsak; Kimyon; Lime suyu,,"misafir-sofrasi,yuksek-protein",Eti lif lif ayrılana kadar pişirin; taco içinde kuru parça kalmaz.,"Soğan, kişniş ve lime ile servis edin."
barbunya-pilaki,Barbunya Pilaki,"Barbunya, havuç ve patatesin zeytinyağıyla piştiği klasik pilaki.",YEMEK,tr,Barbunya; Soğan; Havuç; Patates; Zeytinyağı; Limon suyu,,"vegan,butce-dostu,vejetaryen",Barbunyayı ayrı haşlayıp kara suyunu dökün; pilakinin rengi temiz kalır.,Maydanoz ve limonla soğuk servis edin.
basbousa,Basbousa,"Orta Doğu irmik tatlısı basbousa, yoğurtlu hamur ve şerbetle nemli kareler halinde servis edilir.",TATLI,me,İrmik; Yoğurt; Şeker; Badem,"GLUTEN,SUT,KUSUYEMIS",vejetaryen,Şerbeti basbousa fırında sıcakken dökün; irmik soğukken dökülürse şerbeti emmez ve hamur kuru kalır.,"Oda sıcaklığında, her dilimin üzerine bir badem koyarak servis edin."
bastilla,Bastilla,"Fas saray mutfağından badem, tarçın ve tavuklu katmerli börek; tuzlu ile tatlı aynı dilimde buluşur.",YEMEK,tr,Yufka; Tavuk but; Yumurta; Badem; Tarçın,"GLUTEN,YUMURTA,KUSUYEMIS",misafir-sofrasi,İç harcı soğutmadan yufkaya koymayın; hamur yumuşar ve katlar ayrılmaz.,Üzerine pudra şekeri ve tarçın serpin.
batirik,Batırık,"Mersin ve Karaman çevresinin batırığı, ince bulgur, tahin ve domatesle serin bir köfte-salata arasıdır.",SALATA,tr,İnce bulgur; Tahin; Domates; Maydanoz,"GLUTEN,SUSAM","vegan,vejetaryen",,
bazlama,Bazlama,Mayalı hamurun tavada pişmesiyle yapılan yumuşak Anadolu ekmeği.,KAHVALTI,tr,Un; Ilık su; Kuru maya; Şeker; Tuz,GLUTEN,"vegan,butce-dostu,vejetaryen",Bezeleri tavaya almadan önce 15 dakika dinlendirin; bazlama daha kabarık olur.,"Tereyağı, bal veya peynirle sıcak servis edin."
beef-chow-fun,Beef Chow Fun,"Kanton beef chow fun, geniş pirinç eriştesi ve dana dilimlerini wok ateşinde kısa sürede birleştirir.",YEMEK,cn,Geniş pirinç eriştesi; Dana eti; Soya sosu; Maş fasulyesi filizi,SOYA,yuksek-protein,Woku dumanlı kızgın yapın; erişteler tavaya yapışmadan tek seferde çevirirseniz isli wok aroması oluşur.,Hemen servis edin; bekledikçe erişte yumuşar.
beef-stroganoff-klasik,Beef Stroganoff Klasik,Klasik Rus stroganoff ince dana dilimlerini mantar ve ekşi kremalı sosla yumuşak bir tabağa taşır.,YEMEK,tr,Dana bonfile; Mantar; Ekşi krema; Soğan,SUT,yuksek-protein,,
bees-knees,Bee's Knees,"Bee's Knees, cinin ardıç aromasını bal şurubu ve limonla yumuşatan ferah bir ekşi kokteyldir.",KOKTEYL,us,Cin; Limon suyu; Bal şurubu; Buz,,"alkollu,30-dakika-alti,vejetaryen",Balı aynı miktarda sıcak suyla açın; doğrudan bal shakerda topaklanır.,Limon kabuğu aroması sıkılmış coupe bardakta servis edin.
beghrir,Beghrir,"Fas'ın bin delikli pankeki beghrir, üstüne dökülen ballı tereyağını sünger gibi içine çeker.",KAHVALTI,ma,İrmik; Un; Maya; Su; Bal,GLUTEN,"vejetaryen,misafir-sofrasi",Hamur yüzeyde kabarcıklar veriyorsa tava sıcaklığı doğru demektir; çevirmeden pişirin.,Üzerine eritilmiş tereyağı ve bal gezdirerek servis edin.
beijinho,Beijinho,"Brezilya Hindistan cevizli lokması, yoğun sütle pişip küçük beyaz toplar halinde servis edilir.",TATLI,tr,Yoğunlaştırılmış süt; Hindistan cevizi rendesi; Tereyağı; Karanfil,SUT,30-dakika-alti,,
besamelli-tavuk,Beşamelli Tavuk,Tavuk ve sebzelerin beşamel sosla kaplanıp fırında kızardığı kremamsı ana yemek.,YEMEK,tr,Tavuk göğsü; Mantar; Bezelye; Tereyağı; Un; Süt; Kaşar peyniri; Tuz,"GLUTEN,SUT","firinda,cocuk-dostu",Beşamel sosu sürekli çırparak pişirin; un topaklanmadan pürüzsüz kıvam alır.,Yanında yeşil salata ile servis edin.
beurre-blanc,Beurre Blanc,"Tereyağı, sirke ve arpacık soğanla hazırlanan parlak Fransız sosu.",SOS,fr,Tereyağı; Arpacık soğan; Beyaz sirke; Limon suyu; Tuz,SUT,"misafir-sofrasi,vejetaryen",Tereyağını soğuk küpler halinde ekleyin; sos emülsiyon halinde kalır.,Haşlanmış sebze üzerinde kullanın.
beyran-corbasi,Beyran Çorbası,"Gaziantep sabahlarının beyranı, kuzu eti, pirinç ve sarımsaklı acı suyuyla güçlü bir çorbadır.",CORBA,tr,Kuzu gerdan; Pirinç; Sarımsak; Pul biber,,yuksek-protein,,
beyti-sarma,Beyti Sarma,Izgara dana köftesinin lavaşa sarılıp domates sos ve yoğurtla servis edildiği kebap.,YEMEK,tr,Dana kıyma; Soğan; Sarımsak; Kimyon; Lavaş; Domates sosu; Yoğurt; Tereyağı,"GLUTEN,SUT","misafir-sofrasi,yuksek-protein",Köfte harcını 10 dakika yoğurun; şişte dağılmayan sıkı bir doku oluşur.,Yanında köz biber ve süzme yoğurtla servis edin.
bhel-puri,Bhel Puri,"Mumbai sokaklarının çıtır atıştırmalığı bhel puri, puffed rice ve sosların son anda birleştiği bir hız tabağıdır.",ATISTIRMALIK,in,Puffed rice; Haşlanmış patates; İnce doğranmış soğan; Yer fıstığı; Demirhindi sosu,YER_FISTIGI,"30-dakika-alti,yaz-tarifi",Tüm ıslak malzemeleri servisten hemen önce ekleyin; çıtırlık bhel puri'nin ana karakteridir.,Küçük kaselerde üstüne ekstra kişniş serperek servis edin.
biang-biang-mian,Biang Biang Mian,"Biang biang mian, geniş el açması noodleın acılı yağ ve sirke ile kaplandığı Şensi tabağıdır.",YEMEK,cn,Un; Su; Soya sosu; Acı pul biber,"GLUTEN,SOYA","vegan,vejetaryen",Hamur şeritlerini yağlayıp dinlendirin; dinlenen hamur kopmadan uzar.,Üzerine taze soğan ve kızgın acılı yağ gezdirerek servis edin.
biberiyeli-mercimek-corbasi,Biberiyeli Mercimek Çorbası,Kırmızı mercimeğe biberiye dokunuşu eklendiğinde alışıldık çorba daha aromatik ve uzun bitişli olur.,CORBA,tr,Kırmızı mercimek; Soğan; Havuç; Biberiye,,"tek-tencere,butce-dostu,vejetaryen,vegan",Biberiyeyi dal halinde pişirip sonunda çıkarın; yaprakları çorbada sert kalabilir.,Üzerine limon ve zeytinyağı gezdirerek servis edin.
bibimbap,Bibimbap,"Kore'nin renkli pirinç kasesi, sebze, yumurta, et ve acı biber ezmesini sofrada karıştırır.",YEMEK,kr,Pirinç; Dana kıyma; Ispanak; Havuç; Yumurta; Soya sosu; Susam yağı,"SOYA,YUMURTA,SUSAM",misafir-sofrasi,Sebzeleri ayrı ayrı soteleyin; renk ve doku birbirine karışmaz.,Servis sırasında gochujang ekleyip karıştırın.
bici-bici,Bici Bici,"Adana yazlarının buzlu nişasta tatlısı, gül şerbeti ve pudra şekeriyle serinletir.",TATLI,tr,Mısır nişastası; Su; Gül şerbeti; Pudra şekeri; Buz,,"vegan,yaz-tarifi,30-dakika-alti,vejetaryen",Nişasta muhallebisini tamamen soğutun; küp kesildiğinde formunu korur.,Rendelenmiş buzla servis edin.
birria-de-res,Birria de Res,"Birria de res, kurutulmuş biberli sosla uzun pişen dana etinin derin aromalı Meksika yahnisidir.",YEMEK,mx,Dana döş; Kurutulmuş guajillo biber; Domates; Kimyon,,"misafir-sofrasi,yuksek-protein",Biberleri sıcak suda bekletin; kuru kabuk blenderda pütür bırakmaz.,"Mısır tortilla, soğan, kişniş ve et suyuyla servis edin."
biscuits-and-gravy,Biscuits and Gravy,"Güney ABD kahvaltısında tereyağlı bisküviler, biberli beyaz sosla birlikte ağır ama rahatlatıcı bir tabak kurar.",KAHVALTI,us,Bisküvi ekmeği; Sosis; Un; Süt; Karabiber,"GLUTEN,SUT","misafir-sofrasi,kis-tarifi",Sosu kısık ateşte karıştırın; un tadı gitmeli ama kıvam puding gibi olmamalı.,Üstüne bol karabiber çekip sıcak servis edin.
bissara,Bissara,"Fas'ta sabahları da içilen bissara, bakla püresinin kimyon ve zeytinyağıyla kalın çorba gibi sunulan halidir.",CORBA,ma,Kuru bakla içi; Sarımsak; Kimyon; Zeytinyağı,,"vegan,butce-dostu,kis-tarifi,vejetaryen",Baklayı tamamen yumuşatın; pürüzsüz doku bissara için belirleyicidir.,Üzerine zeytinyağı gezdirip kimyon serperek ekmekle servis edin.
bitlis-buryan-corbasi,Bitlis Büryan Çorbası,"Bitlis büryan çorbası kuzu eti suyu ve pirinçle yoğun, sabah sofralarına yakışan bir kase olur.",CORBA,tr,Kuzu eti; Pirinç; Sarımsak; Pul biber,,yuksek-protein,,
blabarssoppa,Blåbärssoppa,"İskandinav yaban mersini çorbası, sıcak da içilebilen koyu meyve içeceklerinden biridir.",ICECEK,se,Yaban mersini; Su; Şeker; Nişasta,GLUTEN,"alkolsuz,yaz-tarifi,vejetaryen,vegan",Nişastayı soğuk suda açmadan tencereye atmayın; topaklanır.,Ilık ya da soğuk olarak küçük kupalarda servis edin.
black-bean-soup,Black Bean Soup,"Siyah fasulye, kimyon ve biberle kurulan bu Küba çorbası, uzun pişmeden bile derin bir gövde yakalar.",CORBA,cu,Haşlanmış siyah fasulye; Soğan; Sarımsak; Sebze suyu,,"butce-dostu,tek-tencere,vejetaryen,vegan",Fasulyenin bir kısmını ezmek çorbayı krema eklemeden koyulaştırır.,Üstüne lime ve ince kıyılmış kişniş ekleyerek servis edin.
blini,Blini,"Rus blini krepleri ince hamurla tavada pişer, ekşi krema ya da reçelle sofraya gelir.",KAHVALTI,ru,Un; Süt; Yumurta; Tereyağı,"GLUTEN,SUT,YUMURTA",vejetaryen,,
bloody-mary,Bloody Mary,"Votka, domates suyu, limon ve acı sosla hazırlanan baharatlı kokteyl.",KOKTEYL,tr,Votka; Domates suyu; Limon suyu; Acı sos; Kereviz tuzu; Karabiber; Buz,KEREVIZ,"alkollu,pratik,vejetaryen,vegan",Malzemeleri sert çalkalamayın; domates suyu köpürmeden karışmalı.,Kereviz sapı ve limon dilimiyle servis edin.
bo-kho,Bo Kho,"Vietnam dana yahni bo kho, anasonlu kokusu ve hafif tatlı et suyuyla çorba ile ana yemek arasında durur.",YEMEK,vn,Dana kuşbaşı; Havuç; Soya sosu; Yıldız anason; Domates püresi,SOYA,"misafir-sofrasi,tek-tencere",Baharatı kısa süre kavurmak et suyunda daha açık ve dengeli bir aroma bırakır.,Yanına çıtır baget ya da erişteyle servis edin.
bo-luc-lac,Bo Luc Lac,Sallanan dana olarak bilinen Vietnam klasiğinde et küpleri yüksek ateşte kısa sürede kızarır.,YEMEK,vn,Dana bonfile; Soya sosu; Sarımsak; Domates; Marul,SOYA,yuksek-protein,Eti tavaya tek kat koyun; kalabalık tavada et su salar ve kızarmaz.,Domatesli marul yatağında sıcak servis edin.
bobo-de-camarao,Bobo de Camarao,"Brezilya karidesli manyok yahnisi, Hindistan cevizi sütüyle pürüzsüz ve doyurucu bir kıvam alır.",YEMEK,tr,Karides; Manyok; Hindistan cevizi sütü; Domates,DENIZ_URUNLERI,misafir-sofrasi,,
boeuf-bourguignon,Boeuf Bourguignon,"Burgonya'nın kırmızı şarapta ağır pişen dana yahnisi, mantar ve arpacık soğanla zenginleşir.",YEMEK,me,Dana kuşbaşı; Kırmızı şarap; Mantar; Arpacık soğan; Un; Tereyağı,"GLUTEN,SUT","alkollu,misafir-sofrasi",Eti tencereye tek kat yerleştirip kızartın; buharlaşma lezzet kabuğunu engeller.,Patates püresi veya tereyağlı erişteyle servis edin.
bogurtlen-kefir-smoothie,Böğürtlen Kefir Smoothie,"Kefirin hafif ekşiliği böğürtlenle birleşince ferah, yoğun ama ağır olmayan bir bardak çıkar.",ICECEK,tr,Böğürtlen; Kefir; Muz,SUT,"alkolsuz,30-dakika-alti,vejetaryen",Böğürtlen çok ekşiyse bir iki hurmayla dengeleyin; ekstra şeker gerekmez.,İnce nane yapraklarıyla soğuk servis edin.
bogurtlenli-chia-smoothie,Böğürtlenli Chia Smoothie,"Böğürtlenli chia smoothie, koyu meyve tadını yoğurtla yuvarlayıp küçük chia taneleriyle daha tok hale getirir.",ICECEK,us,Böğürtlen; Yoğurt; Chia tohumu; Bal,SUT,"alkolsuz,vejetaryen","Chia tohumunu çekimden sonra 5 dakika bekletmek, bardağın daha koyu görünmesini sağlar.",Üzerine birkaç böğürtlen koyarak servis edin.
bolu-mengen-pilavi,Bolu Mengen Pilavı,"Mengen pilavı, pirinç, kuzu eti, mantar ve dereotuyla aşçı geleneğini taşıyan zengin bir pilavdır.",YEMEK,tr,Pirinç; Kuzu kuşbaşı; Mantar; Tereyağı,SUT,misafir-sofrasi,Pirinci 20 dakika ılık suda bekletin; nişastası azalır.,Dereotu ve karabiberle sıcak servis edin.
borscht,Borscht,"Rus pancar çorbası, lahana ve et suyuyla parlak renkli, ekşi dokulu bir kış kasesi olur.",CORBA,ru,Pancar; Lahana; Et suyu; Ekşi krema,SUT,kis-tarifi,,
borulce-eksilemesi,Börülce Ekşilemesi,"Ege'de taze börülce, soğan ve domatesle kısa sulu pişirilir; sonunda gelen limon yemeğe ferah bir ekşilik verir.",YEMEK,tr,Taze börülce; Soğan; Domates; Zeytinyağı; Limon suyu; Tuz,,"vejetaryen,butce-dostu,vegan",Börülceyi diri kalacak noktada bırakın; limon suyunu en sonda eklemek tanelerin dağılmasını önler.,Yanına sarımsaklı yoğurt ve kızarmış ekmek koyarak servis edin.
borulce-salatasi,Börülce Salatası,"Haşlanmış börülce, domates ve zeytinyağlı limon sosla yapılan ferah salata.",SALATA,tr,Kuru börülce; Domates; Kırmızı soğan; Maydanoz; Zeytinyağı; Limon suyu; Tuz,,"vegan,yaz-tarifi,vejetaryen",Börülceyi diri kalacak şekilde haşlayın; salatada ezilmeden karışır.,Balık veya zeytinyağlı sofralarında servis edin.
borulceli-domates-yahnisi,Börülceli Domates Yahnisi,"Taze börülcenin domatesle piştiği bu yaz yahnisi, baklagil tarafını hafif ve sulu tutan bir sofra yemeğidir.",YEMEK,tr,Taze börülce; Domates; Soğan; Zeytinyağı,,"vegan,yaz-tarifi,vejetaryen",Börülcenin kılçığını temizledikten sonra çok küçük bölmeyin; dokusu daha iyi kalır.,Soğuk ya da ılık servis edin.
bossam,Bossam,"Kore bossam yemeğinde et uzun haşlanır, marul ve sarımsaklı sosla sarılarak yenir.",YEMEK,kr,Dana döş; Soya sosu; Sarımsak; Marul,SOYA,misafir-sofrasi,,
bouillabaisse,Bouillabaisse,Marsilya limanından safranlı balık çorbası; deniz ürünleri ve rezene aromasıyla güçlüdür.,CORBA,fr,Beyaz balık fileto; Karides; Balık suyu; Rezene; Domates; Safran; Ekmek,"DENIZ_URUNLERI,GLUTEN",misafir-sofrasi,Balığı son bölümde ekleyin; uzun kaynama eti parçalar.,Kızarmış ekmekle servis edin.
boulevardier,Boulevardier,Paris'te viskiyle ağırlaşan negroni kuzeni; kampari acılığı tatlı vermutla yuvarlanır.,KOKTEYL,tr,Viski; Kampari; Tatlı vermut; Buz; Portakal kabuğu,,"alkollu,30-dakika-alti,vejetaryen,vegan",Karıştırma bardağını buzla soğutun; içki berrak ve güçlü kalır.,Portakal kabuğu yağıyla bitirin.
boza,Boza,Darı unundan yapılan fermente geleneksel Türk içeceği. Kış aylarının favorisi.,ICECEK,tr,Darı unu; Şeker; Su; Yaş maya; Leblebi,GLUTEN,"alkolsuz,kis-tarifi,vejetaryen,vegan","Mayalanma süresi sıcaklığa göre değişir, 2-3 gün bekleyebilir.",Leblebi ve tarçın ile servis edin.
bramble,Bramble,"Bramble cin, limon ve böğürtlen likörüyle kırık buz üzerinde servis edilen ferah bir kokteyldir.",KOKTEYL,us,Cin; Limon suyu; Şeker şurubu; Böğürtlen likörü,,"alkollu,30-dakika-alti,vejetaryen,vegan",Böğürtlen likörünü en son gezdirin; renk buzların arasından süzülür.,Kırık buz dolu rocks bardakta böğürtlen ve limonla servis edin.
briam,Briam,"Yunan fırın sebzesi briam, kabak, patates ve domatesi zeytinyağında ağır ağır yumuşatır.",YEMEK,gr,Kabak; Patates; Domates; Zeytinyağı,,"vegan,firinda,vejetaryen",,
brigadeiro,Brigadeiro,"Brezilya doğum günü masalarının çikolatalı lokması, yoğun süt ve kakao ile parlak bir kıvam alır.",TATLI,br,Yoğunlaştırılmış süt; Kakao; Tereyağı; Çikolata parçacığı,SUT,"vejetaryen,30-dakika-alti",Karışım tencere tabanından ayrılınca ocaktan alın; soğuyunca kolay yuvarlanır.,Çikolata parçacığına bulayıp küçük kağıt kapsüllerde servis edin.
brik,Brik,Tunus sokaklarında ince hamurun içinde yumurta ve ton balığıyla kızaran çıtır üçgen.,APERATIF,cn,Yufka; Yumurta; Ton balığı; Patates; Maydanoz,"GLUTEN,YUMURTA,DENIZ_URUNLERI",30-dakika-alti,Yumurtayı hamurun ortasına kırıp hemen kapatın; sarısı pişerken akışkan kalır.,Limon dilimi ve maydanozla sıcak servis edin.
brik-tunus-usulu,Brik,"Brik, ton balıklı patates harcının ince yufkaya sarılıp yumurtayla birlikte kızartıldığı Tunus işi çıtır bir lokmadır.",APERATIF,ma,Yufka; Patates; Ton balığı; Yumurta; Maydanoz; Ayçiçek yağı; Limon,"GLUTEN,YUMURTA,DENIZ_URUNLERI",misafir-sofrasi,Yufkayı kapatırken kenarı sıkı bastırmak kızartma sırasında açılmasını engeller.,Yanına limon dilimleri koyarak sıcak servis edin.
brokoli-corbasi,Brokoli Çorbası,"Brokoli, patates ve sütle hazırlanan pürüzsüz kıvamlı sebze çorbası.",CORBA,tr,Brokoli; Patates; Soğan; Süt; Zeytinyağı; Sebze suyu; Tuz,SUT,"vejetaryen,dusuk-kalorili,kis-tarifi",Brokoliyi fazla kaynatmayın; rengi canlı kalır ve kokusu ağırlaşmaz.,Üzerine karabiber ve zeytinyağı gezdirin.
brownie,Brownie,Bitter çikolata ve tereyağıyla yapılan yoğun kıvamlı klasik brownie.,TATLI,us,Bitter çikolata; Tereyağı; Yumurta; Şeker; Un; Kakao,"GLUTEN,SUT,YUMURTA","vejetaryen,cocuk-dostu",Brownie fırından çıktığında ortası hafif nemli kalmalı; soğuyunca dilimlenir.,Vanilyalı dondurma ile servis edin.
bruschetta,Bruschetta,"Kızarmış ekmek üzerinde domates, fesleğen ve zeytinyağıyla hazırlanan İtalyan aperatifi.",APERATIF,it,Baget ekmek; Domates; Sarımsak; Taze fesleğen; Zeytinyağı; Balzamik sirke; Tuz,GLUTEN,"vegan,30-dakika-alti,yaz-tarifi,vejetaryen",Domates harcını ekmeğin üzerine servis öncesi koyun; ekmek çıtırlığını korur.,Zeytinyağlı başlangıç tabağı içinde sunun.
budae-jjigae,Budae Jjigae,"Kore budae jjigae, kimchi, noodle ve et ürünlerini acılı suda paylaşmalık bir tencereye dönüştürür.",YEMEK,kr,Kimchi; Ramen noodle; Dana sosis; Gochujang,"GLUTEN,SOYA",misafir-sofrasi,,
bulgogi,Bulgogi,"Kore mangalının ince dana eti, soya sosu, armut ve susamla tatlı-tuzlu marine edilir.",YEMEK,kr,Dana antrikot; Soya sosu; Armut püresi; Susam yağı; Sarımsak,"SOYA,SUSAM",yuksek-protein,Eti yarı donukken ince dilimleyin; tavada kısa sürede yumuşak pişer.,Marul yaprağı ve pilavla servis edin.
bulgur-pilavi,Bulgur Pilavı,"Domatesli, biberli klasik bulgur pilavı. Pratik ve doyurucu.",YEMEK,tr,Bulgur (pilavlık); Soğan; Domates salçası; Biber salçası; Sıvı yağ; Su; Tuz,GLUTEN,"vegan,30-dakika-alti,butce-dostu,vejetaryen",,Cacık ile servis edin.
bun-bo-hue,Bun Bo Hue,"Hue şehrinin acılı et suyu, pirinç eriştesi ve dana etiyle Vietnam'ın güçlü kaselerinden biridir.",CORBA,tr,Dana incik; Pirinç eriştesi; Limon otu; Soya sosu,SOYA,yuksek-protein,,
bun-cha,Bun Cha,"Hanoi öğle sofralarında ızgara köfte, pirinç eriştesi ve ekşi tatlı sos aynı tabakta buluşur.",YEMEK,vn,Dana kıyma; Pirinç eriştesi; Soya sosu; Pirinç sirkesi; Şeker,SOYA,misafir-sofrasi,Köfteleri küçük ve yassı hazırlayın; yüksek ateşte dışı kızarırken içi sulu kalır.,"Nane, marul ve salatalıkla servis edin."
bun-rieu,Bun Rieu,"Vietnam bun rieu, domatesli yengeç suyu, pirinç eriştesi ve otlarla ekşi hafif bir kase sunar.",CORBA,vn,Yengeç eti; Domates; Pirinç eriştesi; Yumurta,"YUMURTA,DENIZ_URUNLERI",yuksek-protein,Yengeçli karışımı kaynar suya parça parça bırakın; topaklar dağılmaz.,"Pirinç eriştesi, lime ve taze otlarla servis edin."
bungeoppang,Bungeoppang,"Balık kalıbında pişen bu Kore sokak tatlısı, içindeki tatlı kırmızı fasulye dolgusuyla kış akşamlarının favorisidir.",ATISTIRMALIK,kr,Un; Süt; Yumurta; Tatlı kırmızı fasulye ezmesi,"GLUTEN,SUT,YUMURTA","cocuk-dostu,kis-tarifi,vejetaryen",Kalıbı fazla doldurmayın; dolgu dışarı taşarsa balık şekli net çıkmaz.,Tavadan çıkar çıkmaz sıcak çayla birlikte sunun.
bursa-cantik,Bursa Cantık,"Bursa fırınlarında küçük yuvarlak hamurun üstü kıymalı harçla dolar, kenarları çıtır kalır.",YEMEK,tr,Un; Maya; Dana kıyma; Domates; Ayran,"GLUTEN,SUT",misafir-sofrasi,Hamurun ortasını bastırıp kenar bırakın; harç fırında dışarı akmaz.,Ayran ve köz biberle servis edin.
bursa-inegol-kofte,Bursa İnegöl Köfte,"İnegöl köftesi, az baharatlı dana kıymanın karbonatla dinlenip ızgarada sade pişen klasik halidir.",YEMEK,tr,Dana kıyma; Karbonat; Soğan suyu; Tuz,,yuksek-protein,Köfte harcını en az 6 saat dinlendirin; karbonat dokuyu esnek yapar.,"Piyaz, köz biber ve ekmekle servis edin."
bursa-pideli-kofte,Bursa Pideli Köfte,"Bursa pideli köfte, ızgara köfteyi tırnak pide, domates sosu ve tereyağıyla aynı tabakta toplar.",YEMEK,tr,Dana kıyma; Tırnak pide; Domates sosu; Tereyağı,"GLUTEN,SUT",misafir-sofrasi,"Pideyi servis tabağında ince kesin, üzerine sos dökün, en son kızgın tereyağı gezdirin; tereyağı soğursa aroma düşer.",Yanında yoğurt ve közlenmiş biber ile servis edin.
butter-chicken,Butter Chicken,Delhi restoranlarından tereyağlı domates sosunda yumuşayan baharatlı tavuk klasiği.,YEMEK,in,Tavuk kalça; Yoğurt; Domates püresi; Tereyağı; Garam masala; Krema,SUT,"misafir-sofrasi,yuksek-protein",Tavuğu yoğurtlu marinada en az 30 dakika bekletin; sos içinde kuru kalmaz.,Naan veya basmati pilavla servis edin.
ca-kho-to,Ca Kho To,"Toprak kapta pişen Vietnam balığı, karamelize sos ve karabiberle yoğun bir ana yemek olur.",YEMEK,tr,Levrek fileto; Soya sosu; Şeker; Taze soğan,"DENIZ_URUNLERI,SOYA",misafir-sofrasi,,
ca-phe-sua-chua,Ca Phe Sua Chua,"Vietnam yoğurt kahvesi, koyu kahve ve tatlı yoğurdu buz üzerinde ekşi tatlı bir içecekte birleştirir.",ICECEK,vn,Koyu filtre kahve; Yoğurt; Yoğunlaştırılmış süt; Buz,SUT,"alkolsuz,30-dakika-alti,vejetaryen",Kahveyi tamamen soğutun; sıcak kahve yoğurdu kesebilir.,Uzun bardakta buzla ve kaşıkla servis edin.
ca-phe-sua-da,Cà Phê Sữa Đá,"Vietnam buzlu sütlü kahvesi, koyu demlenmiş kahvenin yoğunlaştırılmış sütle birleştiği kuvvetli bir bardaktır.",ICECEK,vn,Vietnam kahvesi; Yoğunlaştırılmış süt; Buz,SUT,"pratik,yaz-tarifi,30-dakika-alti,vejetaryen",Kahveyi çok ince değil orta-ince öğütün; filtre çok yavaş akarsa içecek gereğinden sertleşir.,Uzun bardakta bol buzla servis edin.
cacik-dip,Cacık Dip,"Süzme yoğurt, salatalık ve dereotuyla hazırlanan koyu kıvamlı dip sos.",SOS,tr,Süzme yoğurt; Salatalık; Sarımsak; Dereotu; Zeytinyağı; Tuz,SUT,"vejetaryen,pratik",Salatalığın suyunu sıkın; dip sos servis tabağında sulanmaz.,Sebze çubukları veya köfte yanında servis edin.
cafe-au-lait,Café au Lait,"Fransız sabahlarının sade ama yumuşak kahvesi, eşit ölçü kahve ve sıcak sütle hazırlanır.",ICECEK,fr,Filtre kahve; Süt,SUT,"vejetaryen,30-dakika-alti,pratik",Sütü kaynama noktasına getirmeden ısıtın; kahvenin tadı daha yuvarlak kalır.,Tereyağlı kruvasanla birlikte servis edin.
cafe-bombon,Café Bombón,"İspanya'da espresso ile yoğunlaştırılmış sütün katmanlı buluşması, küçük ama tatlı bir kahve molası yaratır.",ICECEK,es,Espresso; Yoğunlaştırılmış süt,SUT,"vejetaryen,pratik,30-dakika-alti",Yoğunlaştırılmış sütü önce bardağa koyup espressoyu yavaş dökerseniz net katmanlar görünür.,Yanına sade bisküviyle küçük cam bardakta servis edin.
cafe-cubano,Cafe Cubano,"Küba usulü koyu espresso, ilk damlalar şekerle çırpılarak daha köpüklü ve güçlü bir fincana dönüşür.",ICECEK,cu,Espresso; Şeker,,"pratik,30-dakika-alti,vejetaryen,vegan",İlk birkaç damla espressoyu şekerle hızlıca çırpmak üstte klasik espumita köpüğünü oluşturur.,Küçük fincanlarda kısa shot olarak servis edin.
