slug,title,category,type,cuisine,viewCount,ingredients_tr,steps_tr,tipNote_current,servingSuggestion_current
mantarli-kasza-tava-polonya-usulu,Mantarlı Kasza Tava,makarna-pilav,YEMEK,pl,0,Karabuğday 1.5 su bardağı | Mantar 300 gr | Soğan 1 adet | Su 3 su bardağı,1. Soğan ve mantarı soteleyin. || 2. Karabuğday ve suyu ekleyin. || 3. 14 dakika pişirin.,Karabuğdayı fazla karıştırmamak tanelerin diri kalmasını sağlar.,Yanına sıcak ekmek ve bir kase turşu iliştirip geleneksel tabağa dönüştürün.
mantarli-misir-ekmegi-dilimi-kastamonu-usulu,Mantarlı Mısır Ekmeği Dilimi,hamur-isleri,ATISTIRMALIK,tr,0,Mısır ekmeği 4 dilim | Kültür mantarı 300 gr | Tereyağı 1 yemek kaşığı | Karabiber 0.5 çay kaşığı,1. Mantarları doğrayın. || 2. Tereyağında 5 dakika soteleyin. || 3. Mısır ekmeği üstünde servis edin.,Mantarı yüksek ateşte 5 dakika çevirmek sulanmadan renk almasını sağlar.,Servis tabağının kenarına limon dilimi ve maydanoz dalları yerleştirerek renk ekleyin.
mantarli-misir-yarmasi-zonguldak-usulu,Zonguldak Mantarlı Mısır Yarması,sebze-yemekleri,YEMEK,tr,0,Mısır yarması 1 su bardağı | Mantar 250 gr | Kuru soğan 1 adet | Su 2.5 su bardağı | Zeytinyağı 1 yemek kaşığı,1. Soğan ve mantarı 6 dakika soteleyin. || 2. Mısır yarması ve suyu ekleyin. || 3. Yemeği kısık ateşte 18 dakika pişirin.,Mantar suyunu çekene kadar sotelemek yarmanın gevşemesini önler.,"Geniş servis tabağında, üstüne sızma zeytinyağı ve limon kabuğu rendesi gezdirerek ılık servis edin."
mantarli-risotto,Mantarlı Risotto,makarna-pilav,YEMEK,it,0,Arborio pirinci 1.5 su bardağı | Mantar 300 gr | Soğan 1 adet | Sarımsak 2 diş | Sebze suyu 5 su bardağı | Tereyağı 2 yemek kaşığı | Zeytinyağı 2 yemek kaşığı | Parmesan peyniri 60 gr | Tuz 1 çay kaşığı,1. Sebze suyunu ayrı tencerede sıcak tutun. || 2. Mantarları zeytinyağında 6 dakika soteleyip kenara alın. || 3. Soğan ve sarımsağı tereyağında 4 dakika kavurun. || 4. Pirinci ekleyip 2 dakika karıştırın. || 5. Sıcak sebze suyunu kepçe kepçe ekleyerek 20 dakika pişirin. || 6. Mantar ve parmesanı ekleyip karıştırın.,Sıcak sebze suyunu kepçe kepçe ekleyin; pirinç sıvıyı emdikçe risottonun kremamsı dokusu oluşur.,Taze çekilmiş karabiberle sıcak servis edin.
mantarli-simit-dolmasi-balikesir-usulu,Balıkesir Mantarlı Simit Dolması,hamur-isleri,APERATIF,tr,0,Simit 2 adet | Mantar 250 gr | Kaşar peyniri 80 gr | Süt 0.5 su bardağı | Karabiber 0.5 çay kaşığı,1. Mantarları tavada 6 dakika soteleyin. || 2. Simitleri sütle hafifçe nemlendirip içlerini doldurun. || 3. Üzerine kaşar serpip 190°C fırında 12 dakika pişirin.,Simitleri kısa süre ıslatmak formunu kaybetmeden doldurmayı kolaylaştırır.,Küçük cam kaselerde tabağın ortasına yerleştirip etrafına közlenmiş sebze dilimleri dizin.
mantarli-soganli-yumurta-tava-polonya-usulu,Mantarlı Soğanlı Yumurta Tava,kahvaltiliklar,KAHVALTI,pl,0,Yumurta 3 adet | Mantar 200 gr | Soğan 1 adet | Tereyağı 1 tatlı kaşığı,1. Soğan ve mantarı çevirin. || 2. Yumurtayı ekleyin. || 3. Tavayı 4 dakika pişirin.,Mantarın suyunu çektirmek tavada daha yoğun bir tat bırakır.,Sıcak servis edin.
mantarli-tavuk-paprikash-tava-macar-usulu,Mantarlı Tavuk Paprikash Tava,tavuk-yemekleri,YEMEK,hu,0,Tavuk göğsü 500 gr | Mantar 250 gr | Tatlı kırmızı biber 1 yemek kaşığı | Krema 0.5 su bardağı,1. Tavuğu 6 dakika soteleyin. || 2. Mantarı ekleyin. || 3. Krema ile 8 dakika pişirin.,Biberi yanmadan çevirmek paprikash tadını temiz tutar.,Sıcak servis edin.
maple-tavuklu-pirinc-tava-amerikan-usulu,Maple Tavuklu Pirinç Tava,tavuk-yemekleri,YEMEK,us,0,Tavuk göğsü 500 gr | Pirinç 1.5 su bardağı | Maple şurubu 1 yemek kaşığı | Su 3 su bardağı,1. Tavuğu 6 dakika pişirin. || 2. Pirinç ve suyu ekleyin. || 3. Maple ile 12 dakika pişirin.,Maple şurubu az kullanmak tavada karamel tadı verir ama yemeği şekerli yapmaz.,Tavuğu sıcak sosunun içinde bırakıp yanına ince kesilmiş yeşil yaprak salatayla verin.
mapo-tofu,Mapo Tofu,sebze-yemekleri,YEMEK,cn,0,Tofu 500 gr | Acı fasulye ezmesi 2 yemek kaşığı | Soya sosu 2 yemek kaşığı | Susam yağı 1 yemek kaşığı | Taze soğan 3 dal,1. Fasulye ezmesini yağda 2 dakika kavurun. || 2. Tofu ve soya sosunu ekleyin. || 3. Tavayı 12-15 dakika kısık ateşte pişirin. || 4. Taze soğanla servis edin.,Tofuyu karıştırırken spatulayı alttan çevirin; küpler parçalanmaz.,Sade pirinçle servis edin.
maqluba,Maqluba,makarna-pilav,YEMEK,me,0,Kuzu kuşbaşı 600 gr | Pirinç 2 su bardağı | Patlıcan 2 adet | Karnabahar 400 gr | Yoğurt 2 su bardağı,"1. Eti 30 dakika haşlayın; patlıcan ve karnabaharı kızartın. || 2. Tencereye sebze, et ve pirinci kat kat dizin, et suyuyla 25 dakika pişirin. || 3. 10 dakika dinlendirip geniş tabağa ters çevirin.",Tencereyi ters çevirmeden önce 10 dakika dinlendirin; katlar dağılmadan çıkar.,Yoğurt ve salatalıkla servis edin.
maracuyali-zencefilli-icecek-peru-usulu,Maraçuyalı Zencefilli İçecek,icecekler,ICECEK,pe,0,Maraçuya püresi 1 su bardağı | Su 1.5 su bardağı | Zencefil 0.5 çay kaşığı | Buz 1 su bardağı,1. Meyve püresini açın. || 2. Zencefili ekleyin. || 3. Buzla servis edin.,Zencefili az kullanmak meyvenin ekşi kokusunu bastırmamasını sağlar.,Soğuk servis edin.
maras-dondurmasi,Maraş Dondurması,tatlilar,TATLI,tr,0,Keçi sütü 1 litre | Şeker 180 gr | Salep 8 gr | Damla sakızı 1 parça,"1. Süt, şeker ve salebi 20 dakika karıştırarak pişirin. || 2. Karışımı soğutup dondurucuya alın. || 3. 3 saat boyunca 30 dakikada bir spatulayla dövün.",Karışımı dondururken 30 dakikada bir dövün; uzayan yapı böyle oluşur.,Kesme dondurma gibi dilimleyerek servis edin.
mardin-ikbebet,Mardin İkbebet,hamur-isleri,YEMEK,tr,0,İnce bulgur 500 gr | Dana kıyma 400 gr | Soğan 2 adet | Yoğurt 2 su bardağı | Kimyon 1 çay kaşığı,1. Bulguru sıcak suyla 20 dakika dinlendirin. || 2. Kıyma ve soğanı 10 dakika kavurup iç hazırlayın. || 3. Köfteleri doldurup kaynar suda 15 dakika haşlayın.,Bulgur hamurunu avuç içinde ince açın; haşlama sırasında çatlama azalır.,Sarımsaklı yoğurtla servis edin.
mardin-kaburga-pilavi,Mardin Kaburga Pilavı,makarna-pilav,YEMEK,tr,0,Kuzu kaburga 1.5 kg | Pirinç 3 su bardağı | Badem 100 gr | Kuş üzümü 60 gr,"1. Kuzu kaburgayı 90 dakika pişirin. || 2. Pirinç, badem ve kuş üzümünü kavurun. || 3. Et suyuyla pilavı 25 dakika pişirin.","Kuşbaşıyı yüksek ateşte kısa sürede mühürleyin, sonra ateşi kısın; su bırakmaz, tat daha konsantre olur.",Yanına közlenmiş sivri biber ve tuzlu yoğurtla ılık servis için tabakta düzenleyin.
martini,Martini,kokteyller,KOKTEYL,us,0,Cin 60 ml | Kuru vermut 10 ml | Buz 1 su bardağı | Yeşil zeytin 1 adet,1. Cin ve vermutu buz dolu karıştırma bardağına alın. || 2. Karışımı 25 saniye karıştırın. || 3. Soğuk kadehe süzüp zeytinle servis edin.,Karıştırma bardağını buzla doldurun; martini çok soğuk servis edilmelidir.,Yeşil zeytin veya limon kabuğuyla servis edin.
mas-fasulyesi-yemegi,Maş Fasulyesi Yemeği,baklagil-yemekleri,YEMEK,tr,0,Maş fasulyesi 1.5 su bardağı | Soğan 1 adet | Havuç 1 adet | Domates 2 adet | Zeytinyağı 3 yemek kaşığı | Yoğurt 1 su bardağı,"1. Maş fasulyesini 15 dakika haşlayıp süzün. || 2. Soğan, havuç ve domatesi zeytinyağında 8 dakika pişirin. || 3. Fasulyeyi ekleyip 20 dakika kısık ateşte pişirin.",Maş fasulyesini fazla haşlamayın; küçük taneler hızlı dağılır.,Yoğurt ve pul biberle servis edin.
masala-cayi,Masala Çayı,kahve-sicak-icecekler,ICECEK,in,0,Siyah çay 2 tatlı kaşığı | Süt 1 su bardağı | Su 1 su bardağı | Kakule 3 adet | Tarçın çubuğu 1 adet | Zencefil 10 gr | Şeker 2 tatlı kaşığı,"1. Su, kakule, tarçın ve zencefili 5 dakika kaynatın. || 2. Çay ve sütü ekleyip 6-7 dakika pişirin. || 3. Süzüp şekerle servis edin.",Baharatları suyla önce kaynatın; süt eklendiğinde aroma daha yoğun olur.,Sıcak bardakta servis edin.
masala-chai,Masala Chai,kahve-sicak-icecekler,ICECEK,in,0,Süt 2 su bardağı | Su 1 su bardağı | Siyah çay 2 tatlı kaşığı | Kakule 3 adet | Tarçın 1 çubuk,"1. Su, süt ve hafifçe ezilmiş baharatları tencereye alın. || 2. Karışımı 6 dakika kaynatıp çayı ekleyin. || 3. 2 dakika daha demleyip süzerek servis edin.",Baharatları hafifçe ezerek kaynatın; bütün bırakırsanız aroması daha yavaş çıkar.,Küçük bardakta yanında tuzlu kraker veya bisküviyle servis edin.
masala-rum-punch-hindistan-usulu,Masala Rom Punch,kokteyller,KOKTEYL,in,0,Rom 1 su bardağı | Demli siyah çay 0.75 su bardağı | Baharat şurubu 0.5 su bardağı | Limon suyu 2 yemek kaşığı | Buz 1 su bardağı,1. Bardağı buzla doldurun. || 2. Sıvıları ekleyip karıştırın. || 3. Kokteyli hemen servis edin.,Baharat şurubunu önceden soğutmak kokteylin bulanıklaşmadan dengeli karışmasını sağlar.,"Şeffaf sürahide sunmak içeceğin rengini öne çıkarır, bardakları yanına ayrı dizin."
massaman-curry,Massaman Curry,et-yemekleri,YEMEK,th,0,Dana kuşbaşı 600 gr | Massaman köri macunu 3 yemek kaşığı | Kokos kreması 400 ml | Patates 3 adet | Yer fıstığı 80 gr,1. Köri macununu tencerede yağla 2 dakika kavurun. || 2. Dana eti ve kokos kremasını ekleyip 45 dakika pişirin. || 3. Patates ve yer fıstığını ekleyip 15 dakika daha pişirin.,Köri macununu yağda 2 dakika kavurmak baharatların kokusunu açar.,Jasmin pirinç pilavı ile servis edin.
mastikha-limonata-yunan-usulu,Mastikha Limonata,icecekler,ICECEK,gr,0,Limon suyu 0.5 su bardağı | Su 3 su bardağı | Şeker 2 yemek kaşığı | Mastikha 1 çimdik | Buz 1 su bardağı,1. Limon ve şekeri karıştırın. || 2. Su ve mastikhayı ekleyin. || 3. Buzla birlikte servis edin.,Mastikhayı çok az kullanmak içecekte dengeli bir reçine aroması bırakır.,"Bardağın ağzını tuz veya şekerle kaplayıp (rim) süsleyin, içine dik bir kamış koyun."
matcha-latte,Matcha Latte,kahve-sicak-icecekler,ICECEK,jp,0,Matcha tozu 1 tatlı kaşığı | Sıcak su 3 yemek kaşığı | Süt 1 su bardağı | Bal 1 tatlı kaşığı,1. Matcha tozunu sıcak suyla pürüzsüz olana kadar çırpın. || 2. Sütü ısıtıp köpürtün. || 3. Matcha karışımını süte ekleyip bal ile tatlandırın.,Matchayı önce az sıcak suyla açın; topak kalmadan süte karışır.,Üzerine ince matcha serpip sıcak servis edin.
matcha-smoothie,Matcha Smoothie,smoothie-shake,ICECEK,jp,0,Matcha 2 çay kaşığı | Muz 2 adet | Yoğurt 250 gr | Bal 1 yemek kaşığı,"1. Matchayı sıcak suyla açın. || 2. Muz, yoğurt, bal ve matchayı blendera alın. || 3. Karışımı 45 saniye pürüzsüz çekin.",Matchayı önce 2 yemek kaşığı sıcak suyla açın; blenderda topak kalmaz.,Üzerine ince muz dilimleri ve susam serperek servis edin.
matchali-armut-kup-japon-usulu,Matchalı Armut Kup,tatlilar,TATLI,jp,0,Armut 2 adet | Yoğurt 2 su bardağı | Matcha 1 çay kaşığı | Bal 2 yemek kaşığı,1. Yoğurdu matcha ile karıştırın. || 2. Armutu dilimleyin. || 3. Kup içinde katmanlayın.,Matchayı süzerek eklemek yoğurtlu tabanda topak kalmasını önler.,Soğuk servis edin.
matchali-muzlu-smoothie,Matchalı Muzlu Smoothie,smoothie-shake,ICECEK,jp,0,Yoğurt 1 su bardağı | Muz 2 adet | Matcha 1 tatlı kaşığı | Bal 1 yemek kaşığı | Süt 1 su bardağı,"1. Matchayı birkaç kaşık sütle pürüzsüz olana kadar karıştırın. || 2. Yoğurt, muz, bal ve kalan sütle birlikte blendera alın. || 3. 1 dakika çekip bekletmeden servis edin.",Matchayı önce az sıvıyla açarsanız blenderda topak kalmaz.,Soğuk bardakta üstüne 0.5 çay kaşığı matcha serperek servis edin.
mavi-yemisli-komposto-artvin-usulu,Mavi Yemişli Komposto,icecekler,ICECEK,tr,0,Mavi yemiş 1 su bardağı | Su 5 su bardağı | Tarçın 1 çubuk | Şeker 2 yemek kaşığı,1. Meyveleri yıkayın. || 2. Suyla 10 dakika kaynatın. || 3. Soğutup servis edin.,Meyveleri ezmeden kaynatmak kompostoda daha berrak bir görünüm bırakır.,Soğuk servis edin.
maydanozlu-fasulye-piyazi-sinop-usulu,Maydanozlu Fasulye Piyazı,salatalar,SALATA,tr,0,Haşlanmış kuru fasulye 2 su bardağı | Maydanoz 0.5 demet | Limon suyu 2 yemek kaşığı | Zeytinyağı 1 yemek kaşığı,1. Fasulyeyi süzün. || 2. Maydanozu ince kıyın. || 3. Sosla karıştırıp servis edin.,Fasulyeyi süzdükten sonra 2 dakika bekletmek sosun daha iyi tutmasını sağlar.,Soğuk servis edin.
mazamorra-morada-peru-usulu,Mazamorra Morada,tatlilar,TATLI,pe,0,Mor mısır özü 1 su bardağı | Su 1.5 lt | Elma 1 adet | Mısır nişastası 2 yemek kaşığı | Tarçın 1 çubuk,"1. Mısır özü, su ve tarçını 10 dakika kaynatın. || 2. Elmayı ekleyip 5 dakika daha pişirin. || 3. Nişastayla koyulaştırıp soğutarak servis edin.",Nişastayı son aşamada eklemek tatlının pürüzsüz bağlanmasını sağlar.,Üstüne iri kıyılmış çiğ fındık ve bir damla gül suyuyla sunum kurun.
mazarin-kekleri,Mazarin Kekleri,tatlilar,TATLI,se,0,Un 200 gr | Tereyağı 100 gr | Badem unu 150 gr | Toz şeker 100 gr | Yumurta 2 adet,1. Hamuru hazırlayıp küçük kalıplara bastırın. || 2. Bademli içi paylaştırın. || 3. Mazarinleri 180°C fırında 20 dakika pişirip soğuyunca sırlayın.,Hamuru kalıba bastırdıktan sonra 10 dakika dolapta bekletmek kenarların formunu korur.,Kahve yanında oda sıcaklığında servis edin.
mazurek-polonya-usulu,Mazurek,tatlilar,TATLI,pl,0,Un 2 su bardağı | Tereyağı 100 gr | Yumurta 1 adet | Kayısı reçeli 0.75 su bardağı | Badem 0.5 su bardağı,1. Hamuru hazırlayıp tabana yayın. || 2. Tabanı 180°C fırında 20 dakika pişirin. || 3. Üstüne reçel ve badem yayıp soğutarak servis edin.,Hamuru ince yaymak mazureğin karakteristik alçak formunu korur.,Küçük kareler halinde servis edin.
mechoui,Mechoui,et-yemekleri,YEMEK,ma,0,Kuzu kol 1.8 kg | Kimyon 2 çay kaşığı | Kişniş 2 çay kaşığı | Zeytinyağı 4 yemek kaşığı,1. Kuzu etini zeytinyağı ve baharatlarla ovun. || 2. Kapalı fırın kabında 160°C fırında 3 saat pişirin. || 3. Kapağı açıp 30 dakika kızartın.,Kemikli et kullanıyorsanız kemiği önce yalayıp kavurmak et suyunu derinleştirir.,Servis tabağının kenarına limon dilimi ve maydanoz dalları yerleştirerek renk ekleyin.
mechouia-salatasi,Mechouia Salatası,salatalar,SALATA,ma,0,Kapya biber 3 adet | Domates 2 adet | Soğan 1 adet | Sarımsak 1 diş | Limon suyu 1 yemek kaşığı | Zeytinyağı 2 yemek kaşığı | Tuz 0.5 çay kaşığı,"1. Biber, domates ve soğanı közleyip kabuklarını ayırın. || 2. Sebzeleri sarımsak ve tuzla iri doğrayın. || 3. Limon suyu ve zeytinyağıyla karıştırıp servis edin.",Sebzeleri bıçakla iri bırakmak salatanın sulu ezmeye dönmesini önler.,Limon suyu tazeyken ılık servis edin.
medianoche,Medianoche,aperatifler,APERATIF,cu,0,Sandviç ekmeği 4 adet | Dana jambon 200 gr | Rosto et 250 gr | Kaşar peyniri 160 gr | Hardal 2 yemek kaşığı | Salatalık turşusu 4 dilim,"1. Ekmekleri hardalla ince kaplayın. || 2. Et, jambon, peynir ve turşuyu yerleştirin. || 3. Sandviçleri pres tavada 8 dakika pişirin.",Kemikli et kullanıyorsanız kemiği önce yalayıp kavurmak et suyunu derinleştirir.,Küçük cam kaselerde tabağın ortasına yerleştirip etrafına közlenmiş sebze dilimleri dizin.
medianoche-sandwich,Medianoche Sandwich,hamur-isleri,YEMEK,cu,0,Sandviç ekmeği 2 adet | Pişmiş domuz eti 180 gr | İsviçre peyniri 60 gr | Hardal 1 yemek kaşığı | Salatalık turşusu 4 dilim,"1. Ekmeği açıp hardal sürün. || 2. Et, peynir ve turşuyu yerleştirin. || 3. Sandviçi bastırarak 6-8 dakika kızartın.",Ekmeği hafifçe yağlayıp bastırırsanız dış yüzey daha güzel renk alır.,Yanına ince patates kızartmasıyla sıcak servis edin.
medovik-kup-rus-usulu,Medovik Kupa,tatlilar,TATLI,ru,0,Bal 3 yemek kaşığı | Ekşi krema 1.5 su bardağı | Bisküvi kırıntısı 1 su bardağı | Şeker 2 yemek kaşığı,1. Kremayı hazırlayın. || 2. Katmanları kadehlere yerleştirin. || 3. Tatlıyı soğutup servis edin.,Katmanları ince tutmak kup içinde medovik hissini daha dengeli verir.,Soğuk servis etmeden önce küçük dilimlere bölün; tabağın yanına sade bir kaşık krema koyun.
medovik-rus-usulu,Medovik,tatlilar,TATLI,ru,0,Bal 0.5 su bardağı | Un 2.5 su bardağı | Yumurta 2 adet | Krema 2 su bardağı,1. Hamur katlarını hazırlayın. || 2. Katları 190°C fırında kısa kısa pişirin. || 3. Katları kremayla birleştirip dinlendirin.,Pastayı dinlendirmek katların kremayı çekmesini sağlar.,"Altına bir kaşık vişne reçeli, yanına soğuk süt bardağı koyarak çocuklu sofralara hazırlayın."
meggyes-makos-retes-macar-usulu,Meggyes Mákos Rétes,hamur-isleri,TATLI,hu,0,Yufka 3 adet | Vişne 2 su bardağı | Haşhaş 0.5 su bardağı | Toz şeker 0.25 su bardağı | Zeytinyağı 2 yemek kaşığı,"1. Vişne, haşhaş ve şekeri karıştırın. || 2. Harci yufkaya sarın. || 3. 190°C fırında 24 dakika pişirin.",İç harcı kuru tutmak ruloyu korur.,"Buzdolabında bekletmiş tabakta tek porsiyon olarak, yanına demli ıhlamur fincanıyla verin."
meggyes-retes,Meggyes Retes,tatlilar,TATLI,hu,0,Yufka 4 adet | Vişne 400 gr | Toz şeker 4 yemek kaşığı | Galeta unu 2 yemek kaşığı | Tereyağı 40 gr,1. Vişneyi şekerle karıştırıp suyunu süzün. || 2. Yufkaya galeta unu serpip içi yayın ve rulo yapın. || 3. Retesi 190°C fırında 25 dakika pişirin.,Kirazın suyunu süzüp galeta unu ile dengelemek ruloyu altından ıslatmaz.,Üzerine pudra şekeri serperek ılık servis edin.
meggyleves-soguk-macar-usulu,Meggyleves,corbalar,CORBA,hu,0,Vişne 3 su bardağı | Krema 0.75 su bardağı | Şeker 0.5 su bardağı | Su 3 su bardağı | Tarçın 0.5 çay kaşığı,1. Vişneyi su ve şekerle 8 dakika pişirin. || 2. Kremayı ekleyip kısa ısıtın. || 3. Çorbayı soğutup servis edin.,Vişneyi çok kaynatmamak çorbanın rengini ve canlı meyve tadını korur.,Çorbayı derin kaseye boşaltıp üzerine eritilmiş tereyağında kavurulmuş nane dökün.
meksika-sicak-cikolatasi,Meksika Sıcak Çikolatası,kahve-sicak-icecekler,ICECEK,mx,0,Süt 500 ml | Kakao 2 yemek kaşığı | Bitter çikolata 60 gr | Tarçın 1 çay kaşığı | Acı biber 1 tutam,"1. Süt, kakao ve tarçını tencerede çırpın. || 2. Orta ateşte 6 dakika ısıtın. || 3. Çikolata ve acı biberi ekleyip eriyene kadar karıştırın.",Kakaoyu süt ısınmadan çırpın; topak kalmaz.,Üzerine tarçın serperek servis edin.
melocan-kavurmasi-ordu-usulu,Ordu Melocan Kavurması,sebze-yemekleri,YEMEK,tr,0,Melocan otu 500 gr | Kuru soğan 1 adet | Mısır unu 2 yemek kaşığı | Zeytinyağı 2 yemek kaşığı | Tuz 0.75 çay kaşığı,"1. Melocanı temizleyip 5 dakika haşlayın ve suyunu sıkın. || 2. Soğanı zeytinyağında 4 dakika çevirin, melocanı tavaya ekleyin. || 3. Mısır unu ve tuzu katıp 5 dakika daha kavurarak servis edin.",Melocanı haşladıktan sonra suyunu iyi süzmek tavada sulanmayı azaltır.,Yanına mısır ekmeği koyarak ılık servis edin.
melomakarona,Melomakarona,tatlilar,TATLI,gr,0,Un 3 su bardağı | Portakal suyu 0.5 su bardağı | Zeytinyağı 0.5 su bardağı | Bal 1 su bardağı | Ceviz 0.5 su bardağı,"1. Un, portakal suyu ve zeytinyağı ile yumuşak bir hamur hazırlayın. || 2. Hamurdan parçalar alıp şekil verin ve 180°C fırında 25 dakika pişirin. || 3. Kurabiyeleri ılık bala bulayıp ceviz serpin.",Kurabiyeler fırından çıkar çıkmaz ılık şerbete girerse içi yumuşar ama dağılmaz.,Üzerine ceviz serperek kahvenin yanında servis edin.
menekse-serbeti-erzurum-usulu,Menekşe Şerbeti,icecekler,ICECEK,tr,0,Menekşe şurubu 0.5 su bardağı | Su 3 su bardağı | Limon suyu 0.25 su bardağı | Buz 1 su bardağı,1. Sıvıları karıştırın. || 2. Bardaklara buz koyun. || 3. Şerbeti pay edip servis edin.,Menekşe şurubunu ölçülü kullanmak içeceğin parfümsü olmasını önler.,"Tahta tepsiye buzlu bardağı, yanına limon dilimleri ve taze nane sapıyla sunum kurun."
menengic-kahvesi,Menengiç Kahvesi,kahve-sicak-icecekler,ICECEK,tr,0,Menengiç kahvesi 2 tatlı kaşığı | Süt 300 ml | Su 100 ml | Toz menengiç 0.5 çay kaşığı,"1. Süt, su ve menengiç kahvesini cezveye alın. || 2. Karışımı taşırmadan ısıtın. || 3. Kahveyi fincanlara paylaştırıp toz menengiçle servis edin.",Kahveyi kaynama noktasına gelmeden ocaktan alın; köpük daha yerinde kalır.,Üzerine toz menengiç serperek sıcak servis edin.
menengicli-irmik-muhallebisi-gaziantep-usulu,Menengiçli İrmik Muhallebisi,tatlilar,TATLI,tr,0,İrmik 0.75 su bardağı | Süt 3 su bardağı | Şeker 0.5 su bardağı | Menengiç ezmesi 2 yemek kaşığı,"1. Süt, irmik ve şekeri pişirin. || 2. Muhallebiyi 10 dakika koyulaştırın. || 3. Menengiçle tamamlayıp soğutun.",Menengiç ezmesini kaynamanın sonunda eklemek aromanın daha belirgin kalmasına yardım eder.,Buzdolabından çıkarıp 10 dakika oda sıcaklığında bekletip yanına bir fincan Türk kahvesiyle sunun.
menengicli-muhallebi-sanliurfa-usulu,Menengiçli Muhallebi,tatlilar,TATLI,tr,0,Süt 4 su bardağı | Menengiç kreması 3 yemek kaşığı | Pirinç unu 4 yemek kaşığı | Şeker 0.5 su bardağı,1. Malzemeleri tencerede çırpın. || 2. Muhallebiyi 10 dakika pişirin. || 3. Kaselere alıp soğutun.,Menengiç kremasını ocaktan almaya yakın eklemek aromasını belirgin tutar.,"Altına bir kaşık vişne reçeli, yanına soğuk süt bardağı koyarak çocuklu sofralara hazırlayın."
mercimekli-bukme-nevsehir-usulu,Nevşehir Mercimekli Bükme,hamur-isleri,KAHVALTI,tr,0,Un 4 su bardağı | Ilık su 1.25 su bardağı | Instant maya 1 tatlı kaşığı | Yeşil mercimek 1 su bardağı | Kuru soğan 1 adet,1. Hamuru yoğurup 20 dakika mayalandırın. || 2. Haşlanmış mercimeği soğanla çevirerek iç harcı hazırlayın. || 3. Hamuru açıp içi sarın ve bükmeyi 190°C fırında 25 dakika pişirin.,Mercimekli içi tamamen soğutup hamura almak katların düzgün açılmasını kolaylaştırır.,Dilimleyip çayla ılık servis edin.
mercimekli-cevizli-borek-sivas-usulu,Mercimekli Cevizli Börek,hamur-isleri,YEMEK,tr,0,Yufka 4 adet | Haşlanmış yeşil mercimek 1.5 su bardağı | Ceviz 0.5 su bardağı | Zeytinyağı 2 yemek kaşığı,1. Mercimekli içi hazırlayın. || 2. Yufkaları harçla sarın. || 3. Böreği 24 dakika pişirin.,Mercimeği diri haşlamak börek içinde püreleşmeden dağılmasını sağlar.,Ilık servis edin.
